1701138979.6422033
Set_RPM,Current_RPM,PWM_Estimate,Encoder_Val
30,47.755755131583854,-17.84472146479309,1745.0
30,0.0,30.150477557551316,1745.0
30,0.12396859926227183,30.02541031805542,1746.0
30,138.23416405504514,-108.77671597727493,2854.0
30,177.8859112777967,-148.62573735165793,4287.0
30,43.567422166402494,-13.633916092343393,4638.0
30,7.613707334202273,22.49858366627504,4699.0
30,1.2411386636681068,28.902719368700257,4709.0
30,137.61492458748967,-108.15436294828635,5816.0
30,178.3501919717042,-149.09235028423655,7250.0
30,41.29030495029776,-11.345385876179035,7582.0
30,7.087997723068166,23.026904311388762,7639.0
30,1.1182928621197974,29.026175370618212,7648.0
30,138.18161167724742,-108.7238903688218,8760.0
30,178.2766054768502,-149.01838945417242,10194.0
30,42.719767575830645,-12.782010845330788,10537.0
30,7.232263787907977,22.881929768190364,10595.0
30,1.3643869191115066,28.778849825061624,10606.0
30,138.3304544185024,-108.8734763512699,11716.0
30,178.1951481202963,-148.93652250783478,13151.0
30,43.4109006189813,-13.476607279601195,13500.0
30,7.838722837211344,22.27243927038042,13563.0
30,1.2432547793960722,28.900594901387528,13573.0
30,137.94384883565064,-108.48493508576946,14682.0
30,178.70072420566586,-149.4446353954479,16117.0
30,-1992.4038672782708,2032.537597660577,82.0
30,7.088838389828498,23.005722491165674,139.0
30,0.4968653786695066,29.650716214167257,143.0
30,137.96463877786155,-108.50583664948485,1253.0
30,178.3584221743346,-149.10061822304024,2688.0
30,42.72443630860389,-12.786702150288253,3031.0
30,6.971120313034229,23.14438161856056,3087.0
30,1.2426300845187928,28.9012140499609,3097.0
30,138.11892178741832,-108.66088515927244,4209.0
30,178.92681180804783,-149.67185394598826,5643.0
30,42.800691420073186,-12.863333615969673,5988.0
30,6.966348365726949,23.14917823587496,6044.0
30,1.1179987537228384,29.026469736004668,6053.0
30,137.38502855774212,-107.92331637082886,7158.0
30,178.2252577979433,-148.9667924892254,8592.0
30,43.18820847533691,-13.252799147220365,8938.0
30,7.0720963253251545,23.042904354169718,8995.0
30,1.3673257315050695,28.775894687543342,9006.0
