,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib,KwContrib
0,0,0.2941262722015381,0.0,0,1710454542.625769,-550,0,0,0
1,0,0.02146458625793457,0.0,0,1710454542.6472335,-550,0,0,0
2,18,0.0210263729095459,21.401694050413308,0,1710454542.6682599,-550,0,0,0
3,67,0.020837783813476562,80.38282837528604,0,1710454542.6890976,-550,0,0,0
4,101,0.020566701889038086,122.77126462098467,0,1710454542.7096643,-550,0,0,0
5,122,0.021074771881103516,144.72280019005814,0,1710454542.730739,-550,0,0,0
6,136,0.0211029052734375,161.11525668835864,0,1710454542.751842,-550,0,0,0
7,144,0.020966768264770508,171.70028087012884,0,1710454542.7728088,-550,0,0,0
8,151,0.021140098571777344,178.57059593088826,0,1710454542.793949,-550,0,0,0
9,155,0.020781517028808594,186.4637694461016,0,1710454542.8147304,-550,0,0,0
10,160,0.021068334579467773,189.8583860490907,0,1710454542.8357987,-550,0,0,0
11,162,0.020785093307495117,194.85118205072322,0,1710454542.8565838,-550,0,0,0
12,164,0.0208737850189209,196.41861771995752,0,1710454542.8774576,-550,0,0,0
13,165,0.021427392959594727,192.510587161884,0,1710454542.898885,-550,0,0,0
14,165,0.020500659942626953,201.2130346800642,0,1710454542.9193857,-550,0,0,0
15,165,0.021280765533447266,193.83701180846535,0,1710454542.9406664,-550,0,0,0
16,166,0.02079463005065918,199.5707540788131,0,1710454542.961461,-550,0,0,0
17,166,0.021324872970581055,194.60842771373947,0,1710454542.982786,-550,0,0,0
18,167,0.02067255973815918,201.95854083292005,0,1710454543.0034585,-550,0,0,0
19,168,0.020792722702026367,201.9937484950293,0,1710454543.0242512,-550,0,0,0
20,167,0.020940542221069336,199.3740160080154,0,1710454543.0451918,-550,0,0,0
21,167,0.020584821701049805,202.8193423597679,0,1710454543.0657766,-550,0,0,0
22,166,0.021109580993652344,196.59319629545968,0,1710454543.0868862,-550,0,0,0
23,166,0.021003007888793945,197.5907461432804,0,1710454543.1078892,-550,0,0,0
24,167,0.021053075790405273,198.3083156857638,0,1710454543.1289423,-550,0,0,0
