,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime,PWMReq
0,-1.0,0.8071837425231934,-0.030971882463653136,-1,-1,1709505513.9130766,200
1,0.0,0.0007045269012451172,0.0,-1,-1,1709505513.9137812,200
2,0.0,0.0004296302795410156,0.0,-1,-1,1709505513.9142108,200
3,0.0,0.00035953521728515625,0.0,-1,-1,1709505513.9145703,200
4,0.0,0.00035262107849121094,0.0,-1,-1,1709505513.914923,200
5,0.0,0.0003561973571777344,0.0,-1,-1,1709505513.9152792,200
6,0.0,0.0003342628479003906,0.0,-1,-1,1709505513.9156134,200
7,0.0,0.00033855438232421875,0.0,-1,-1,1709505513.915952,200
8,0.0,0.00035858154296875,0.0,-1,-1,1709505513.9163105,200
9,0.0,0.0003018379211425781,0.0,-1,-1,1709505513.9166124,200
10,0.0,0.00028514862060546875,0.0,-1,-1,1709505513.9168975,200
11,0.0,0.00028824806213378906,0.0,-1,-1,1709505513.9171858,200
12,0.0,0.0002815723419189453,0.0,-1,-1,1709505513.9174674,200
13,0.0,0.0003151893615722656,0.0,-1,-1,1709505513.9177825,200
14,0.0,0.00029730796813964844,0.0,-1,-1,1709505513.9180799,200
15,0.0,0.0002884864807128906,0.0,-1,-1,1709505513.9183683,200
16,0.0,0.0002853870391845703,0.0,-1,-1,1709505513.9186537,200
17,0.0,0.0002951622009277344,0.0,-1,-1,1709505513.918949,200
18,0.0,0.00030159950256347656,0.0,-1,-1,1709505513.9192505,200
19,0.0,0.0002841949462890625,0.0,-1,-1,1709505513.9195347,200
20,0.0,0.0002808570861816406,0.0,-1,-1,1709505513.9198155,200
21,0.0,0.0002846717834472656,0.0,-1,-1,1709505513.9201002,200
22,0.0,0.0002846717834472656,0.0,-1,-1,1709505513.920385,200
23,0.0,0.0002777576446533203,0.0,-1,-1,1709505513.9206626,200
24,0.0,0.0002815723419189453,0.0,-1,-1,1709505513.9209442,200
25,0.0,0.00028014183044433594,0.0,-1,-1,1709505513.9212244,200
26,0.0,0.0002849102020263672,0.0,-1,-1,1709505513.9215093,200
27,0.0,0.00041604042053222656,0.0,-1,-1,1709505513.9219253,200
28,0.0,0.0005431175231933594,0.0,-1,-1,1709505513.9224684,200
29,0.0,0.0005447864532470703,0.0,-1,-1,1709505513.9230132,200
30,0.0,0.0004584789276123047,0.0,-1,-1,1709505513.9234717,200
31,0.0,0.0003955364227294922,0.0,-1,-1,1709505513.9238672,200
32,0.0,0.00036978721618652344,0.0,-1,-1,1709505513.924237,200
33,0.0,0.00036716461181640625,0.0,-1,-1,1709505513.9246042,200
34,0.0,0.00038170814514160156,0.0,-1,-1,1709505513.924986,200
35,0.0,0.00037026405334472656,0.0,-1,-1,1709505513.9253561,200
36,0.0,0.0004489421844482422,0.0,-1,-1,1709505513.925805,200
37,0.0,0.0003902912139892578,0.0,-1,-1,1709505513.9261954,200
38,0.0,0.00038242340087890625,0.0,-1,-1,1709505513.9265778,200
39,0.0,0.0003800392150878906,0.0,-1,-1,1709505513.9269578,200
40,0.0,0.0003724098205566406,0.0,-1,-1,1709505513.9273303,200
41,0.0,0.0003876686096191406,0.0,-1,-1,1709505513.927718,200
42,0.0,0.0003669261932373047,0.0,-1,-1,1709505513.9280849,200
43,0.0,0.00036835670471191406,0.0,-1,-1,1709505513.9284532,200
44,0.0,0.00036454200744628906,0.0,-1,-1,1709505513.9288177,200
45,0.0,0.0003960132598876953,0.0,-1,-1,1709505513.9292138,200
46,0.0,0.000518798828125,0.0,-1,-1,1709505513.9297326,200
47,0.0,0.0008704662322998047,0.0,-1,-1,1709505513.930603,200
48,0.0,0.00044155120849609375,0.0,-1,-1,1709505513.9310446,200
49,0.0,0.00041294097900390625,0.0,-1,-1,1709505513.9314575,200
50,0.0,0.0003955364227294922,0.0,-1,-1,1709505513.931853,200
51,0.0,0.0004787445068359375,0.0,-1,-1,1709505513.9323318,200
52,0.0,0.00039505958557128906,0.0,-1,-1,1709505513.9327269,200
53,0.0,0.0004372596740722656,0.0,-1,-1,1709505513.9331641,200
54,0.0,0.0003867149353027344,0.0,-1,-1,1709505513.9335508,200
55,0.0,0.0004303455352783203,0.0,-1,-1,1709505513.9339812,200
56,0.0,0.000370025634765625,0.0,-1,-1,1709505513.9343512,200
57,0.0,0.0003993511199951172,0.0,-1,-1,1709505513.9347506,200
58,0.0,0.000499725341796875,0.0,-1,-1,1709505513.9352503,200
59,0.0,0.0004184246063232422,0.0,-1,-1,1709505513.9356687,200
60,0.0,0.00041222572326660156,0.0,-1,-1,1709505513.936081,200
61,0.0,0.00039577484130859375,0.0,-1,-1,1709505513.9364767,200
62,0.0,0.0003981590270996094,0.0,-1,-1,1709505513.9368749,200
63,0.0,0.00039839744567871094,0.0,-1,-1,1709505513.9372733,200
64,0.0,0.00039577484130859375,0.0,-1,-1,1709505513.937669,200
65,0.0,0.0004730224609375,0.0,-1,-1,1709505513.938142,200
66,0.0,0.00042700767517089844,0.0,-1,-1,1709505513.938569,200
67,0.0,0.00038433074951171875,0.0,-1,-1,1709505513.9389534,200
68,0.0,0.0004146099090576172,0.0,-1,-1,1709505513.939368,200
69,0.0,0.00039887428283691406,0.0,-1,-1,1709505513.939767,200
70,0.0,0.0004024505615234375,0.0,-1,-1,1709505513.9401693,200
71,0.0,0.00043845176696777344,0.0,-1,-1,1709505513.9406078,200
72,0.0,0.0003998279571533203,0.0,-1,-1,1709505513.9410076,200
73,0.0,0.0004608631134033203,0.0,-1,-1,1709505513.9414685,200
74,0.0,0.00044035911560058594,0.0,-1,-1,1709505513.9419088,200
75,0.0,0.0004017353057861328,0.0,-1,-1,1709505513.9423106,200
76,0.0,0.00039196014404296875,0.0,-1,-1,1709505513.9427025,200
77,0.0,0.0003821849822998047,0.0,-1,-1,1709505513.9430847,200
78,0.0,0.0003829002380371094,0.0,-1,-1,1709505513.9434676,200
79,0.0,0.0003552436828613281,0.0,-1,-1,1709505513.9438229,200
80,0.0,0.0003161430358886719,0.0,-1,-1,1709505513.944139,200
81,0.0,0.00031948089599609375,0.0,-1,-1,1709505513.9444585,200
82,0.0,0.0003058910369873047,0.0,-1,-1,1709505513.9447644,200
83,0.0,0.0003516674041748047,0.0,-1,-1,1709505513.945116,200
84,0.0,0.0003314018249511719,0.0,-1,-1,1709505513.9454474,200
85,0.0,0.0003895759582519531,0.0,-1,-1,1709505513.945837,200
86,0.0,0.00039458274841308594,0.0,-1,-1,1709505513.9462316,200
87,0.0,0.00032258033752441406,0.0,-1,-1,1709505513.9465542,200
88,0.0,0.0003139972686767578,0.0,-1,-1,1709505513.9468682,200
89,0.0,0.0003273487091064453,0.0,-1,-1,1709505513.9471955,200
90,0.0,0.0003631114959716797,0.0,-1,-1,1709505513.9475586,200
91,0.0,0.00032329559326171875,0.0,-1,-1,1709505513.947882,200
92,0.0,0.0003352165222167969,0.0,-1,-1,1709505513.9482172,200
93,0.0,0.0004508495330810547,0.0,-1,-1,1709505513.948668,200
94,0.0,0.0005002021789550781,0.0,-1,-1,1709505513.9491682,200
95,0.0,0.0003685951232910156,0.0,-1,-1,1709505513.9495368,200
96,0.0,0.00019168853759765625,0.0,-1,-1,1709505513.9497285,200
97,0.0,0.00047135353088378906,0.0,-1,-1,1709505513.9501998,200
98,0.0,0.00039267539978027344,0.0,-1,-1,1709505513.9505925,200
99,0.0,0.0004105567932128906,0.0,-1,-1,1709505513.951003,200
100,0.0,0.00041103363037109375,0.0,-1,-1,1709505513.951414,200
101,0.0,0.00047278404235839844,0.0,-1,-1,1709505513.951887,200
102,0.0,0.0004134178161621094,0.0,-1,-1,1709505513.9523003,200
103,0.0,0.0004050731658935547,0.0,-1,-1,1709505513.9527054,200
104,0.0,0.00039386749267578125,0.0,-1,-1,1709505513.9530993,200
105,0.0,0.0004367828369140625,0.0,-1,-1,1709505513.953536,200
106,0.0,0.0003707408905029297,0.0,-1,-1,1709505513.9539068,200
107,0.0,0.0004382133483886719,0.0,-1,-1,1709505513.954345,200
108,0.0,0.0006718635559082031,0.0,-1,-1,1709505513.9550169,200
109,0.0,0.0006327629089355469,0.0,-1,-1,1709505513.9556496,200
110,0.0,0.0006701946258544922,0.0,-1,-1,1709505513.9563198,200
111,0.0,0.0005917549133300781,0.0,-1,-1,1709505513.9569116,200
112,0.0,0.0006594657897949219,0.0,-1,-1,1709505513.957571,200
113,0.0,0.0006160736083984375,0.0,-1,-1,1709505513.958187,200
114,0.0,0.0005843639373779297,0.0,-1,-1,1709505513.9587715,200
115,0.0,0.0006351470947265625,0.0,-1,-1,1709505513.9594066,200
116,0.0,0.0006759166717529297,0.0,-1,-1,1709505513.9600825,200
117,0.0,0.0005986690521240234,0.0,-1,-1,1709505513.9606812,200
118,0.0,0.0005388259887695312,0.0,-1,-1,1709505513.96122,200
119,0.0,0.0005173683166503906,0.0,-1,-1,1709505513.9617374,200
120,0.0,0.0006000995635986328,0.0,-1,-1,1709505513.9623375,200
121,0.0,0.0006384849548339844,0.0,-1,-1,1709505513.962976,200
122,0.0,0.0005862712860107422,0.0,-1,-1,1709505513.9635623,200
123,0.0,0.0005965232849121094,0.0,-1,-1,1709505513.9641588,200
124,0.0,0.0005562305450439453,0.0,-1,-1,1709505513.964715,200
125,0.0,0.0006289482116699219,0.0,-1,-1,1709505513.965344,200
126,0.0,0.0004792213439941406,0.0,-1,-1,1709505513.9658232,200
127,0.0,0.0003962516784667969,0.0,-1,-1,1709505513.9662194,200
128,0.0,0.0003724098205566406,0.0,-1,-1,1709505513.9665918,200
129,0.0,0.00040721893310546875,0.0,-1,-1,1709505513.966999,200
130,0.0,0.0003714561462402344,0.0,-1,-1,1709505513.9673705,200
131,0.0,0.00039386749267578125,0.0,-1,-1,1709505513.9677644,200
132,0.0,0.000942230224609375,0.0,-1,-1,1709505513.9687066,200
133,0.0,0.0017507076263427734,0.0,-1,-1,1709505513.9704573,200
134,0.0,0.0004076957702636719,0.0,-1,-1,1709505513.970865,200
135,0.0,0.0008726119995117188,0.0,-1,-1,1709505513.9717376,200
136,0.0,0.0006151199340820312,0.0,-1,-1,1709505513.9723527,200
137,0.0,0.000377655029296875,0.0,-1,-1,1709505513.9727304,200
138,0.0,0.0003695487976074219,0.0,-1,-1,1709505513.9731,200
139,0.0,0.0003612041473388672,0.0,-1,-1,1709505513.9734612,200
140,0.0,0.0004923343658447266,0.0,-1,-1,1709505513.9739535,200
