,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib,KwContrib
0,0,0.29796290397644043,0.0,0,1710454358.4449584,-450,0,0,0
1,0,0.021283626556396484,0.0,0,1710454358.466242,-450,0,0,0
2,16,0.020738601684570312,19.28770348569852,0,1710454358.4869807,-450,0,0,0
3,56,0.02103567123413086,66.55361668366768,0,1710454358.5080163,-450,0,0,0
4,83,0.021384000778198242,97.03516294834488,0,1710454358.5294003,-450,0,0,0
5,100,0.020662307739257812,120.99326133111788,0,1710454358.5500627,-450,0,0,0
6,111,0.020859479904174805,133.03303882685077,0,1710454358.5709221,-450,0,0,0
7,119,0.021131277084350586,140.78656903340817,0,1710454358.5920534,-450,0,0,0
8,123,0.021070003509521484,145.94207346052005,0,1710454358.6131234,-450,0,0,0
9,127,0.02080059051513672,152.63989729952777,0,1710454358.633924,-450,0,0,0
10,129,0.020744800567626953,155.46064130559705,0,1710454358.6546688,-450,0,0,0
11,132,0.021294355392456055,154.9706454682864,0,1710454358.6759632,-450,0,0,0
12,133,0.021048307418823242,157.9699466488452,0,1710454358.6970115,-450,0,0,0
13,134,0.02074432373046875,161.48995954395,0,1710454358.7177558,-450,0,0,0
14,136,0.020682573318481445,164.38960218561598,0,1710454358.7384384,-450,0,0,0
15,135,0.021376609802246094,157.8828463082757,0,1710454358.759815,-450,0,0,0
16,137,0.020943641662597656,163.5341195756113,0,1710454358.7807586,-450,0,0,0
17,135,0.020652055740356445,163.4219877396936,0,1710454358.8014107,-450,0,0,0
18,136,0.02118372917175293,160.5005413557529,0,1710454358.8225944,-450,0,0,0
19,135,0.02090144157409668,161.47211607560428,0,1710454358.8434958,-450,0,0,0
20,136,0.020985841751098633,162.01399211551788,0,1710454358.8644817,-450,0,0,0
21,136,0.020626068115234375,164.8399482152765,0,1710454358.8851078,-450,0,0,0
22,136,0.021079063415527344,161.29748902863864,0,1710454358.9061868,-450,0,0,0
23,137,0.020882129669189453,164.01583814764916,0,1710454358.927069,-450,0,0,0
24,137,0.02067255973815918,165.67856343778473,0,1710454358.9477415,-450,0,0,0
25,136,0.02147507667541504,158.32306684578066,0,1710454358.9692166,-450,0,0,0
26,136,0.02091693878173828,162.54768613504766,0,1710454358.9901335,-450,0,0,0
27,136,0.021095752716064453,161.1698831400737,0,1710454359.0112293,-450,0,0,0
28,135,0.02093815803527832,161.18896391523668,0,1710454359.0321674,-450,0,0,0
29,136,0.020940542221069336,162.364468126288,0,1710454359.053108,-450,0,0,0
30,136,0.02094554901123047,162.3256567864135,0,1710454359.0740535,-450,0,0,0
31,136,0.02075481414794922,163.81741487846344,0,1710454359.0948083,-450,0,0,0
32,137,0.0213925838470459,160.10221226609605,0,1710454359.116201,-450,0,0,0
33,137,0.020714759826660156,165.34104323005386,0,1710454359.1369157,-450,0,0,0
34,137,0.02141594886779785,159.92753910381296,0,1710454359.1583316,-450,0,0,0
35,136,0.020783662796020508,163.59002902274787,0,1710454359.1791153,-450,0,0,0
36,135,0.020717620849609375,162.90480574479838,0,1710454359.199833,-450,0,0,0
37,136,0.021164417266845703,160.64699335361044,0,1710454359.2209973,-450,0,0,0
38,136,0.020656108856201172,164.60021699485213,0,1710454359.2416534,-450,0,0,0
39,136,0.021569252014160156,157.6317990891807,0,1710454359.2632227,-450,0,0,0
40,136,0.02066636085510254,164.51856346834947,0,1710454359.283889,-450,0,0,0
41,137,0.02101922035217285,162.94610088361065,0,1710454359.3049083,-450,0,0,0
42,137,0.020739316940307617,165.14526538448274,0,1710454359.3256476,-450,0,0,0
43,136,0.02100825309753418,161.8411575781649,0,1710454359.3466558,-450,0,0,0
44,136,0.021147727966308594,160.77377226606538,0,1710454359.3678036,-450,0,0,0
45,136,0.020618677139282227,164.8990367826459,0,1710454359.3884223,-450,0,0,0
46,136,0.021017074584960938,161.77322806062256,0,1710454359.4094393,-450,0,0,0
47,136,0.021113157272338867,161.0370233188414,0,1710454359.4305525,-450,0,0,0
48,136,0.021013498306274414,161.80076018017405,0,1710454359.451566,-450,0,0,0
49,136,0.020816802978515625,163.32959501557633,0,1710454359.4723828,-450,0,0,0
50,137,0.021022319793701172,162.9220768026856,0,1710454359.493405,-450,0,0,0
51,136,0.02095770835876465,162.23147787902573,0,1710454359.5143628,-450,0,0,0
52,137,0.020865440368652344,164.14702682937977,0,1710454359.5352283,-450,0,0,0
53,135,0.02120661735534668,159.14843670950117,0,1710454359.5564349,-450,0,0,0
54,136,0.020615339279174805,164.92573582985418,0,1710454359.5770502,-450,0,0,0
55,136,0.020934581756591797,162.4106963077694,0,1710454359.5979848,-450,0,0,0
56,136,0.02088761329650879,162.775897453458,0,1710454359.6188724,-450,0,0,0
57,136,0.021251916885375977,159.98556828253137,0,1710454359.6401243,-450,0,0,0
58,137,0.021361351013183594,160.33630072771106,0,1710454359.6614857,-450,0,0,0
59,136,0.020642518997192383,164.70858040447672,0,1710454359.6821282,-450,0,0,0
60,137,0.021358489990234375,160.35777817467405,0,1710454359.7034867,-450,0,0,0
61,136,0.020770788192749023,163.69142896497894,0,1710454359.7242575,-450,0,0,0
62,135,0.02103424072265625,160.45266594124047,0,1710454359.7452917,-450,0,0,0
63,136,0.020793914794921875,163.5093744267107,0,1710454359.7660856,-450,0,0,0
64,136,0.020717144012451172,164.1152852901236,0,1710454359.7868028,-450,0,0,0
65,136,0.021245241165161133,160.03583925304963,0,1710454359.808048,-450,0,0,0
66,136,0.020943164825439453,162.3441360624758,0,1710454359.8289912,-450,0,0,0
67,137,0.021016836166381836,162.96458576760332,0,1710454359.850008,-450,0,0,0
68,136,0.02078723907470703,163.56188466302703,0,1710454359.8707952,-450,0,0,0
69,137,0.02096080780029297,163.40019109149642,0,1710454359.891756,-450,0,0,0
70,136,0.020865678787231445,162.9470114377778,0,1710454359.9126217,-450,0,0,0
71,136,0.020893573760986328,162.7294611680398,0,1710454359.9335153,-450,0,0,0
72,136,0.021142959594726562,160.81003157419937,0,1710454359.9546583,-450,0,0,0
73,135,0.02095794677734375,161.0367673825992,0,1710454359.9756162,-450,0,0,0
74,136,0.021566390991210938,157.65271071017955,0,1710454359.9971826,-450,0,0,0
75,137,0.020504236221313477,167.03865303891814,0,1710454360.0176868,-450,0,0,0
76,136,0.021148204803466797,160.77014723456065,0,1710454360.038835,-450,0,0,0
77,137,0.020816564559936523,164.53243233956775,0,1710454360.0596516,-450,0,0,0
78,136,0.020955562591552734,162.24808974446492,0,1710454360.0806072,-450,0,0,0
