,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime,PWMReq
0,-1.0,0.8074541091918945,-0.030961511887059645,-39.96903848811294,-40.0,1707245417.3009844,-159.87615395245177
1,0.0,0.0003249645233154297,0.0,-39.9,-39.9,1707245417.3013093,-159.61298851953967
2,0.0,0.00025653839111328125,0.0,-39.8,-39.8,1707245417.301566,-159.22322440134508
3,0.0,0.00019097328186035156,0.0,-39.7,-39.7,1707245417.3017569,-158.83082513796313
4,0.0,0.00018024444580078125,0.0,-39.6,-39.6,1707245417.301937,-158.43798084246143
5,0.0,0.00017690658569335938,0.0,-39.5,-39.5,1707245417.302114,-158.0449863432549
6,0.0,0.00015306472778320312,0.0,-39.4,-39.4,1707245417.302267,-157.6510324000023
7,0.0,0.00016450881958007812,0.0,-39.3,-39.3,1707245417.3024316,-157.25751404749377
8,0.0,0.0001838207244873047,0.0,-39.2,-39.2,1707245417.3026154,-156.86473820196613
9,0.0,0.00015783309936523438,0.0,-39.1,-39.1,1707245417.3027732,-156.47092525946124
10,0.0,0.00014591217041015625,0.0,-39.0,-39.0,1707245417.3029191,-156.07663042532428
11,0.0,0.00014328956604003906,0.0,-38.9,-38.9,1707245417.3030624,-155.68221871839984
12,0.0,0.00014209747314453125,0.0,-38.8,-38.8,1707245417.3032045,-155.28774631010515
13,0.0,0.00013875961303710938,0.0,-38.7,-38.7,1707245417.3033433,-154.89313018309102
14,0.0,0.00013947486877441406,0.0,-38.6,-38.6,1707245417.3034828,-154.49852786051258
15,0.0,0.0001380443572998047,0.0,-38.5,-38.5,1707245417.3036208,-154.10385637270434
16,0.0,0.00013899803161621094,0.0,-38.4,-38.4,1707245417.3037598,-153.70920779692153
17,0.0,0.0001399517059326172,0.0,-38.3,-38.3,1707245417.3038998,-153.31458194242936
18,0.0,0.00013947486877441406,0.0,-38.2,-38.2,1707245417.3040392,-152.91992382990344
19,0.0,0.00013709068298339844,0.0,-38.1,-38.1,1707245417.3041763,-152.52516069399343
20,0.0,0.00016832351684570312,0.0,-38.0,-38.0,1707245417.3043447,-152.13157381998522
21,0.0,0.00013566017150878906,0.0,-37.9,-37.9,1707245417.3044803,-151.73672890650255
22,0.0,0.00013399124145507812,0.0,-37.8,-37.8,1707245417.3046143,-151.3418071745537
23,0.0,0.00013446807861328125,0.0,-37.7,-37.7,1707245417.3047488,-150.9468900679253
24,0.0,0.000133514404296875,0.0,-37.6,-37.6,1707245417.3048823,-150.55192356096728
25,0.0,0.00013566017150878906,0.0,-37.5,-37.5,1707245417.305018,-150.157024383416
26,0.0,0.0001327991485595703,0.0,-37.4,-37.4,1707245417.3051507,-149.76200435148698
27,0.0,0.000133514404296875,0.0,-37.3,-37.3,1707245417.3052843,-149.36699779020768
28,0.0,0.00015807151794433594,0.0,-37.2,-37.2,1707245417.3054423,-148.97289385782705
29,0.0,0.00013780593872070312,0.0,-37.1,-37.1,1707245417.3055801,-148.57802023874746
30,0.0,0.0001327991485595703,0.0,-37.0,-37.0,1707245417.305713,-148.182947087159
31,0.0,0.00013399124145507812,0.0,-36.9,-36.9,1707245417.305847,-147.7879047630928
32,0.0,0.00013375282287597656,0.0,-36.8,-36.8,1707245417.3059807,-147.39284024225694
33,0.0,0.00013685226440429688,0.0,-36.7,-36.7,1707245417.3061175,-146.99787640558705
