,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib
0,-1.0,1.6616473197937012,-0.015045310579566205,0.0,1709853083.11251,0.0,0.0,0.0
1,0.0,0.0054852962493896484,0.0,0.0,1709853083.1179953,0.0,0.0,0.0
2,0.0,0.0043795108795166016,0.0,0.0,1709853083.1223748,0.0,0.0,0.0
3,0.0,0.0045146942138671875,0.0,0.0,1709853083.1268895,0.0,0.0,0.0
4,0.0,0.0043680667877197266,0.0,0.0,1709853083.1312575,0.0,0.0,0.0
5,0.0,0.028041601181030273,0.0,0.0,1709853083.1592991,0.0,0.0,0.0
6,0.0,0.036461591720581055,0.0,0.0,1709853083.1957607,0.0,0.0,0.0
7,0.0,0.044933319091796875,0.0,0.0,1709853083.240694,0.0,0.0,0.0
8,0.0,0.033652544021606445,0.0,0.0,1709853083.2743466,0.0,0.0,0.0
9,0.0,0.027936935424804688,0.0,0.0,1709853083.3022835,0.0,0.0,0.0
10,0.0,0.0352482795715332,0.0,0.0,1709853083.3375318,0.0,0.0,0.0
11,0.0,0.04011726379394531,0.0,0.0,1709853083.377649,0.0,0.0,0.0
12,0.0,0.03570389747619629,0.0,0.0,1709853083.413353,0.0,0.0,0.0
13,0.0,0.027890682220458984,0.0,0.0,1709853083.4412436,0.0,0.0,0.0
14,0.0,0.03556466102600098,0.0,0.0,1709853083.4768083,0.0,0.0,0.0
15,0.0,0.03630828857421875,0.0,0.0,1709853083.5131166,0.0,0.0,0.0
16,0.0,0.03713798522949219,0.0,0.0,1709853083.5502546,0.0,0.0,0.0
17,0.0,0.03138327598571777,0.0,0.0,1709853083.5816379,0.0,0.0,0.0
18,0.0,0.03539252281188965,0.0,0.0,1709853083.6170304,0.0,0.0,0.0
19,0.0,0.03731679916381836,0.0,0.0,1709853083.6543472,0.0,0.0,0.0
20,0.0,0.03624558448791504,0.0,0.0,1709853083.6905928,0.0,0.0,0.0
21,0.0,0.03956890106201172,0.0,0.0,1709853083.7301617,0.0,0.0,0.0
22,0.0,0.03308677673339844,0.0,0.0,1709853083.7632484,0.0,0.0,0.0
23,0.0,0.03356790542602539,0.0,0.0,1709853083.7968163,0.0,0.0,0.0
24,0.0,0.03731417655944824,0.0,0.0,1709853083.8341305,0.0,0.0,0.0
25,0.0,0.0373845100402832,0.0,0.0,1709853083.871515,0.0,0.0,0.0
26,0.0,0.03253746032714844,0.0,0.0,1709853083.9040525,0.0,0.0,0.0
27,0.0,0.036888837814331055,0.0,0.0,1709853083.9409413,0.0,0.0,0.0
28,0.0,0.03486323356628418,0.0,0.0,1709853083.9758046,0.0,0.0,0.0
29,0.0,0.036013126373291016,0.0,0.0,1709853084.0118177,0.0,0.0,0.0
30,0.0,0.029952049255371094,0.0,0.0,1709853084.0417697,0.0,0.0,0.0
31,0.0,0.03843188285827637,0.0,0.0,1709853084.0802016,0.0,0.0,0.0
32,0.0,0.03322744369506836,0.0,0.0,1709853084.113429,0.0,0.0,0.0
33,0.0,0.03130984306335449,0.0,0.0,1709853084.144739,0.0,0.0,0.0
34,0.0,0.03881072998046875,0.0,0.0,1709853084.1835496,0.0,0.0,0.0
35,0.0,0.03277921676635742,0.0,0.0,1709853084.2163289,0.0,0.0,0.0
36,0.0,0.03822493553161621,0.0,0.0,1709853084.2545538,0.0,0.0,0.0
37,0.0,0.0352785587310791,0.0,0.0,1709853084.2898324,0.0,0.0,0.0
38,0.0,0.035820722579956055,0.0,0.0,1709853084.325653,0.0,0.0,0.0
39,0.0,0.035007476806640625,0.0,0.0,1709853084.3606606,0.0,0.0,0.0
40,0.0,0.03232526779174805,0.0,0.0,1709853084.3929858,0.0,0.0,0.0
41,0.0,0.036336660385131836,0.0,0.0,1709853084.4293225,0.0,0.0,0.0
42,0.0,0.032811880111694336,0.0,0.0,1709853084.4621344,0.0,0.0,0.0
43,0.0,0.03357744216918945,0.0,0.0,1709853084.4957118,0.0,0.0,0.0
44,0.0,0.040749549865722656,0.0,0.0,1709853084.5364614,0.0,0.0,0.0
45,0.0,0.03951287269592285,0.0,0.0,1709853084.5759742,0.0,0.0,0.0
46,0.0,0.03403902053833008,0.0,0.0,1709853084.6100132,0.0,0.0,0.0
47,0.0,0.03137397766113281,0.0,0.0,1709853084.6413872,0.0,0.0,0.0
48,0.0,0.033809661865234375,0.0,0.0,1709853084.675197,0.0,0.0,0.0
49,0.0,0.03546857833862305,0.0,0.0,1709853084.7106655,0.0,0.0,0.0
50,0.0,0.03218817710876465,0.0,0.0,1709853084.7428536,0.0,0.0,0.0
51,0.0,0.03394818305969238,0.0,0.0,1709853084.7768018,0.0,0.0,0.0
52,0.0,0.03626585006713867,0.0,0.0,1709853084.8130677,0.0,0.0,0.0
53,0.0,0.03806924819946289,0.0,0.0,1709853084.851137,0.0,0.0,0.0
54,0.0,0.03168320655822754,0.0,0.0,1709853084.8828201,0.0,0.0,0.0
55,0.0,0.0339198112487793,0.0,0.0,1709853084.91674,0.0,0.0,0.0
56,0.0,0.03783130645751953,0.0,0.0,1709853084.9545712,0.0,0.0,0.0
57,0.0,0.04226326942443848,0.0,0.0,1709853084.9968345,0.0,0.0,0.0
58,0.0,0.039263248443603516,0.0,0.0,1709853085.0360978,0.0,0.0,0.0
59,0.0,0.02258777618408203,0.0,0.0,1709853085.0586855,0.0,0.0,0.0
60,0.0,0.03644132614135742,0.0,0.0,1709853085.0951269,0.0,0.0,0.0
61,0.0,0.03657865524291992,0.0,0.0,1709853085.1317055,0.0,0.0,0.0
62,0.0,0.035233259201049805,0.0,0.0,1709853085.1669388,0.0,0.0,0.0
63,0.0,0.03181648254394531,0.0,0.0,1709853085.1987553,0.0,0.0,0.0
64,0.0,0.03556227684020996,0.0,0.0,1709853085.2343175,0.0,0.0,0.0
65,0.0,0.038529157638549805,0.0,0.0,1709853085.2728467,0.0,0.0,0.0
66,0.0,0.03829002380371094,0.0,0.0,1709853085.3111367,0.0,0.0,0.0
67,0.0,0.029564857482910156,0.0,0.0,1709853085.3407016,0.0,0.0,0.0
68,0.0,0.03245377540588379,0.0,0.0,1709853085.3731554,0.0,0.0,0.0
69,0.0,0.0394597053527832,0.0,0.0,1709853085.412615,0.0,0.0,0.0
70,0.0,0.03198862075805664,0.0,0.0,1709853085.4446037,0.0,0.0,0.0
71,0.0,0.033155202865600586,0.0,0.0,1709853085.477759,0.0,0.0,0.0
72,0.0,0.03585648536682129,0.0,0.0,1709853085.5136154,0.0,0.0,0.0
73,0.0,0.03558349609375,0.0,0.0,1709853085.5491989,0.0,0.0,0.0
74,0.0,0.03673386573791504,0.0,0.0,1709853085.5859327,0.0,0.0,0.0
75,0.0,0.03475213050842285,0.0,0.0,1709853085.6206849,0.0,0.0,0.0
76,0.0,0.033234357833862305,0.0,0.0,1709853085.6539192,0.0,0.0,0.0
77,0.0,0.03761458396911621,0.0,0.0,1709853085.6915338,0.0,0.0,0.0
78,0.0,0.036698341369628906,0.0,0.0,1709853085.7282321,0.0,0.0,0.0
79,0.0,0.034497976303100586,0.0,0.0,1709853085.7627301,0.0,0.0,0.0
80,0.0,0.03237009048461914,0.0,0.0,1709853085.7951002,0.0,0.0,0.0
81,0.0,0.03727388381958008,0.0,0.0,1709853085.832374,0.0,0.0,0.0
82,0.0,0.033896684646606445,0.0,0.0,1709853085.8662708,0.0,0.0,0.0
83,0.0,0.03711581230163574,0.0,0.0,1709853085.9033866,0.0,0.0,0.0
84,0.0,0.031916141510009766,0.0,0.0,1709853085.9353027,0.0,0.0,0.0
85,0.0,0.03441190719604492,0.0,0.0,1709853085.9697146,0.0,0.0,0.0
86,0.0,0.04050183296203613,0.0,0.0,1709853086.0102165,0.0,0.0,0.0
87,0.0,0.026280641555786133,0.0,0.0,1709853086.036497,0.0,0.0,0.0
88,0.0,0.03275012969970703,0.0,0.0,1709853086.0692472,0.0,0.0,0.0
89,0.0,0.04400205612182617,0.0,0.0,1709853086.1132493,0.0,0.0,0.0
90,0.0,0.03229379653930664,0.0,0.0,1709853086.145543,0.0,0.0,0.0
91,0.0,0.035375118255615234,0.0,0.0,1709853086.1809182,0.0,0.0,0.0
92,0.0,0.03525543212890625,0.0,0.0,1709853086.2161736,0.0,0.0,0.0
93,0.0,0.03645491600036621,0.0,0.0,1709853086.2526286,0.0,0.0,0.0
94,0.0,0.03338789939880371,0.0,0.0,1709853086.2860165,0.0,0.0,0.0
95,0.0,0.03812265396118164,0.0,0.0,1709853086.324139,0.0,0.0,0.0
96,0.0,0.03073596954345703,0.0,0.0,1709853086.354875,0.0,0.0,0.0
97,0.0,0.03985881805419922,0.0,0.0,1709853086.394734,0.0,0.0,0.0
98,0.0,0.03433108329772949,0.0,0.0,1709853086.429065,0.0,0.0,0.0
99,0.0,0.03175473213195801,0.0,0.0,1709853086.4608197,0.0,0.0,0.0
100,0.0,0.03889322280883789,0.0,0.0,1709853086.499713,0.0,0.0,0.0
101,0.0,0.0316164493560791,0.0,0.0,1709853086.5313294,0.0,0.0,0.0
102,0.0,0.033379316329956055,0.0,0.0,1709853086.5647087,0.0,0.0,0.0
103,0.0,0.036656856536865234,0.0,0.0,1709853086.6013656,0.0,0.0,0.0
104,0.0,0.04049825668334961,0.0,0.0,1709853086.6418638,0.0,0.0,0.0
105,0.0,0.027780771255493164,0.0,0.0,1709853086.6696446,0.0,0.0,0.0
106,0.0,0.03862595558166504,0.0,0.0,1709853086.7082705,0.0,0.0,0.0
107,0.0,0.03477907180786133,0.0,0.0,1709853086.7430496,0.0,0.0,0.0
108,0.0,0.035771846771240234,0.0,0.0,1709853086.7788215,0.0,0.0,0.0
109,0.0,0.030887126922607422,0.0,0.0,1709853086.8097086,0.0,0.0,0.0
110,0.0,0.03540992736816406,0.0,0.0,1709853086.8451185,0.0,0.0,0.0
111,0.0,0.0397343635559082,0.0,0.0,1709853086.884853,0.0,0.0,0.0
112,0.0,0.03602790832519531,0.0,0.0,1709853086.9208808,0.0,0.0,0.0
113,0.0,0.02251744270324707,0.0,0.0,1709853086.9433982,0.0,0.0,0.0
114,0.0,0.03562784194946289,0.0,-129.0,1709853086.979026,-548.25,-0.0,-361.2
115,0.0,0.036269426345825195,0.0,-116.0,1709853087.0152955,-493.0,-0.0,36.4
116,0.0,0.043630123138427734,0.0,0.0,1709853087.0589256,0.0,-0.0,324.79999999999995
117,0.0,0.04003763198852539,0.0,-137.0,1709853087.0989633,-582.25,-0.0,-383.59999999999997
118,0.0,0.025934457778930664,0.0,-138.0,1709853087.1248977,-586.5,-0.0,-2.8
119,0.0,0.03410506248474121,0.0,-136.0,1709853087.1590028,-578.0,-0.0,5.6
120,0.0,0.03680109977722168,0.0,-134.0,1709853087.1958039,-569.5,-0.0,5.6
121,0.0,0.037633419036865234,0.0,-132.0,1709853087.2334373,-561.0,-0.0,5.6
122,0.0,0.03255915641784668,0.0,-130.0,1709853087.2659965,-552.5,-0.0,5.6
123,0.0,0.03870964050292969,0.0,-127.0,1709853087.304706,-539.75,-0.0,8.399999999999999
124,0.0,0.033548831939697266,0.0,-125.0,1709853087.338255,-531.25,-0.0,5.6
125,0.0,0.0345613956451416,0.0,-124.0,1709853087.3728163,-527.0,-0.0,2.8
126,0.0,0.0353398323059082,0.0,-123.0,1709853087.4081562,-522.75,-0.0,2.8
127,0.0,0.033437252044677734,0.0,-121.0,1709853087.4415934,-514.25,-0.0,5.6
128,0.0,0.03592944145202637,0.0,-119.0,1709853087.4775229,-505.75,-0.0,5.6
129,0.0,0.03224587440490723,0.0,-119.0,1709853087.5097687,-505.75,-0.0,0.0
130,0.0,0.03507065773010254,0.0,-117.0,1709853087.5448394,-497.25,-0.0,5.6
131,0.0,0.034993886947631836,0.0,-114.0,1709853087.5798333,-484.5,-0.0,8.399999999999999
132,0.0,0.037816762924194336,0.0,-112.0,1709853087.61765,-476.0,-0.0,5.6
133,0.0,0.03913998603820801,0.0,-110.0,1709853087.65679,-467.5,-0.0,5.6
134,0.0,0.03149867057800293,0.0,-108.0,1709853087.6882887,-459.0,-0.0,5.6
135,0.0,0.036429405212402344,0.0,-106.0,1709853087.724718,-450.5,-0.0,5.6
136,0.0,0.03246784210205078,0.0,-105.0,1709853087.757186,-446.25,-0.0,2.8
137,0.0,0.03563356399536133,0.0,-103.0,1709853087.7928195,-437.75,-0.0,5.6
138,0.0,0.034033775329589844,0.0,-102.0,1709853087.8268533,-433.5,-0.0,2.8
139,0.0,0.038768768310546875,0.0,-100.0,1709853087.865622,-425.0,-0.0,5.6
140,0.0,0.030314207077026367,0.0,-99.0,1709853087.8959363,-420.75,-0.0,2.8
141,0.0,0.03691911697387695,0.0,-97.0,1709853087.9328554,-412.25,-0.0,5.6
142,0.0,0.03345751762390137,0.0,-95.0,1709853087.966313,-403.75,-0.0,5.6
143,0.0,0.03771328926086426,0.0,-93.0,1709853088.0040262,-395.25,-0.0,5.6
144,0.0,0.03601861000061035,0.0,-90.0,1709853088.0400448,-382.5,-0.0,8.399999999999999
145,0.0,0.03442978858947754,0.0,-87.0,1709853088.0744746,-369.75,-0.0,8.399999999999999
146,0.0,0.03406524658203125,0.0,-84.0,1709853088.1085398,-357.0,-0.0,8.399999999999999
147,0.0,0.034340858459472656,0.0,-81.0,1709853088.1428807,-344.25,-0.0,8.399999999999999
148,0.0,0.035901546478271484,0.0,-79.0,1709853088.1787822,-335.75,-0.0,5.6
149,0.0,0.03262209892272949,0.0,-76.0,1709853088.2114043,-323.0,-0.0,8.399999999999999
150,0.0,0.032558441162109375,0.0,-74.0,1709853088.2439628,-314.5,-0.0,5.6
151,0.0,0.03524303436279297,0.0,-71.0,1709853088.2792058,-301.75,-0.0,8.399999999999999
152,0.0,0.037085533142089844,0.0,-68.0,1709853088.3162913,-289.0,-0.0,8.399999999999999
153,0.0,0.04071617126464844,0.0,-65.0,1709853088.3570075,-276.25,-0.0,8.399999999999999
154,0.0,0.033681631088256836,0.0,-63.0,1709853088.3906891,-267.75,-0.0,5.6
155,0.0,0.036199331283569336,0.0,-60.0,1709853088.4268885,-255.0,-0.0,8.399999999999999
156,0.0,0.0355992317199707,0.0,-58.0,1709853088.4624877,-246.5,-0.0,5.6
157,0.0,0.0299685001373291,0.0,-57.0,1709853088.4924562,-242.25,-0.0,2.8
158,0.0,0.036665916442871094,0.0,-56.0,1709853088.529122,-238.0,-0.0,2.8
159,0.0,0.03200864791870117,0.0,-54.0,1709853088.5611308,-229.5,-0.0,5.6
160,0.0,0.036141395568847656,0.0,-53.0,1709853088.5972722,-225.25,-0.0,2.8
161,0.0,0.03568220138549805,0.0,-52.0,1709853088.6329544,-221.0,-0.0,2.8
162,0.0,0.029860258102416992,0.0,-50.0,1709853088.6628146,-212.5,-0.0,5.6
163,0.0,0.04131174087524414,0.0,-49.0,1709853088.7041264,-208.25,-0.0,2.8
164,0.0,0.035871028900146484,0.0,-48.0,1709853088.7399974,-204.0,-0.0,2.8
