,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib
74,0.0,0.033342599868774414,0.0,105.0,1709853065.967259,446.25,0.0,0.0
75,0.0,0.03525996208190918,0.0,106.0,1709853066.002519,450.5,0.0,2.8
76,0.0,0.04012465476989746,0.0,107.0,1709853066.0426435,454.75,0.0,2.8
77,0.0,0.03564596176147461,0.0,107.0,1709853066.0782895,454.75,0.0,0.0
78,0.0,0.03260397911071777,0.0,107.0,1709853066.1108935,454.75,0.0,0.0
79,0.0,0.034065961837768555,0.0,107.0,1709853066.1449594,454.75,0.0,0.0
80,0.0,0.03547358512878418,0.0,107.0,1709853066.180433,454.75,0.0,0.0
81,0.0,0.033998966217041016,0.0,102.0,1709853066.214432,433.5,0.0,-14.0
82,0.0,0.03850507736206055,0.0,100.0,1709853066.252937,425.0,0.0,-5.6
83,0.0,0.03261113166809082,0.0,100.0,1709853066.2855482,425.0,0.0,0.0
84,0.0,0.03543424606323242,0.0,100.0,1709853066.3209825,425.0,0.0,0.0
85,0.0,0.03676581382751465,0.0,100.0,1709853066.3577483,425.0,0.0,0.0
86,0.0,0.031153440475463867,0.0,100.0,1709853066.3889017,425.0,0.0,0.0
87,0.0,0.03608345985412598,0.0,100.0,1709853066.4249852,425.0,0.0,0.0
88,0.0,0.04537773132324219,0.0,100.0,1709853066.470363,425.0,0.0,0.0
89,0.0,0.027077913284301758,0.0,99.0,1709853066.4974408,420.75,0.0,-2.8
90,0.0,0.029866695404052734,0.0,99.0,1709853066.5273075,420.75,0.0,0.0
91,0.0,0.03405952453613281,0.0,99.0,1709853066.561367,420.75,0.0,0.0
92,0.0,0.03554391860961914,0.0,99.0,1709853066.596911,420.75,0.0,0.0
93,0.0,0.03947043418884277,0.0,97.0,1709853066.6363814,412.25,0.0,-5.6
94,0.0,0.03928422927856445,0.0,98.0,1709853066.6756656,416.5,0.0,2.8
95,0.0,0.031868934631347656,0.0,97.0,1709853066.7075346,412.25,0.0,-2.8
96,0.0,0.03542804718017578,0.0,97.0,1709853066.7429626,412.25,0.0,0.0
97,0.0,0.03529548645019531,0.0,90.0,1709853066.778258,382.5,0.0,-19.599999999999998
98,0.0,0.03371930122375488,0.0,90.0,1709853066.8119774,382.5,0.0,0.0
99,0.0,0.03803086280822754,0.0,90.0,1709853066.8500082,382.5,0.0,0.0
100,0.0,0.031223058700561523,0.0,97.0,1709853066.8812313,412.25,0.0,19.599999999999998
101,0.0,0.04113650321960449,0.0,89.0,1709853066.9223678,378.25,0.0,-22.4
102,0.0,0.03688645362854004,0.0,90.0,1709853066.9592543,382.5,0.0,2.8
103,0.0,0.038056373596191406,0.0,90.0,1709853066.9973106,382.5,0.0,0.0
104,0.0,0.02641606330871582,0.0,96.0,1709853067.0237267,408.0,0.0,16.799999999999997
105,0.0,0.03799176216125488,0.0,89.0,1709853067.0617185,378.25,0.0,-19.599999999999998
106,0.0,0.03998231887817383,0.0,96.0,1709853067.1017008,408.0,0.0,19.599999999999998
107,0.0,0.03140997886657715,0.0,89.0,1709853067.1331108,378.25,0.0,-19.599999999999998
108,0.0,0.029179811477661133,0.0,90.0,1709853067.1622906,382.5,0.0,2.8
109,0.0,0.0485682487487793,0.0,90.0,1709853067.2108588,382.5,0.0,0.0
110,0.0,0.032788991928100586,0.0,90.0,1709853067.2436478,382.5,0.0,0.0
111,0.0,0.03387951850891113,0.0,89.0,1709853067.2775273,378.25,0.0,-2.8
112,0.0,0.02693915367126465,0.0,88.0,1709853067.3044665,374.0,0.0,-2.8
113,0.0,0.04007267951965332,0.0,88.0,1709853067.3445392,374.0,0.0,0.0
114,0.0,0.03708148002624512,0.0,88.0,1709853067.3816206,374.0,0.0,0.0
115,0.0,0.03475522994995117,0.0,89.0,1709853067.4163759,378.25,0.0,2.8
116,0.0,0.03303980827331543,0.0,88.0,1709853067.4494157,374.0,0.0,-2.8
117,0.0,0.03832674026489258,0.0,87.0,1709853067.4877424,369.75,0.0,-2.8
118,0.0,0.026118755340576172,0.0,87.0,1709853067.5138612,369.75,0.0,0.0
119,0.0,0.04286646842956543,0.0,87.0,1709853067.5567276,369.75,0.0,0.0
120,0.0,0.03743553161621094,0.0,87.0,1709853067.5941632,369.75,0.0,0.0
121,0.0,0.037131309509277344,0.0,89.0,1709853067.6312945,378.25,0.0,5.6
122,0.0,0.029529809951782227,0.0,89.0,1709853067.6608243,378.25,0.0,0.0
123,0.0,0.03513360023498535,0.0,88.0,1709853067.695958,374.0,0.0,-2.8
124,0.0,0.037474632263183594,0.0,88.0,1709853067.7334325,374.0,0.0,0.0
125,0.0,0.031732797622680664,0.0,88.0,1709853067.7651653,374.0,0.0,0.0
126,0.0,0.034902095794677734,0.0,88.0,1709853067.8000674,374.0,0.0,0.0
127,0.0,0.03506278991699219,0.0,88.0,1709853067.8351302,374.0,0.0,0.0
128,0.0,0.038703203201293945,0.0,88.0,1709853067.8738334,374.0,0.0,0.0
129,0.0,0.028043270111083984,0.0,88.0,1709853067.9018767,374.0,0.0,0.0
130,0.0,0.039484500885009766,0.0,89.0,1709853067.9413612,378.25,0.0,2.8
131,0.0,0.03074193000793457,0.0,90.0,1709853067.972103,382.5,0.0,2.8
132,0.0,0.033716678619384766,0.0,89.0,1709853068.0058198,378.25,0.0,-2.8
133,0.0,0.03695058822631836,0.0,89.0,1709853068.0427704,378.25,0.0,0.0
134,0.0,0.033841609954833984,0.0,88.0,1709853068.076612,374.0,0.0,-2.8
135,0.0,0.039212942123413086,0.0,89.0,1709853068.115825,378.25,0.0,2.8
136,0.0,0.034352779388427734,0.0,90.0,1709853068.1501777,382.5,0.0,2.8
137,0.0,0.03589630126953125,0.0,89.0,1709853068.186074,378.25,0.0,-2.8
138,0.0,0.028244495391845703,0.0,89.0,1709853068.2143185,378.25,0.0,0.0
139,0.0,0.04456448554992676,0.0,88.0,1709853068.258883,374.0,0.0,-2.8
140,0.0,0.03450417518615723,0.0,88.0,1709853068.2933872,374.0,0.0,0.0
141,0.0,0.024733781814575195,0.0,89.0,1709853068.318121,378.25,0.0,2.8
