,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime
0,-1.0,0.267730712890625,-0.09337740795622934,-229.90662259204376,-230,1706666825.696061
1,0.0,0.00043582916259765625,0.0,-230.0,-230,1706666825.6964967
2,0.0,0.0003631114959716797,0.0,-230.0,-230,1706666825.6968598
3,0.0,0.00038433074951171875,0.0,-230.0,-230,1706666825.6972442
4,0.0,0.00031256675720214844,0.0,-230.0,-230,1706666825.6975567
5,0.0,0.00032258033752441406,0.0,-230.0,-230,1706666825.6978793
6,0.0,0.0003325939178466797,0.0,-230.0,-230,1706666825.698212
7,0.0,0.00032711029052734375,0.0,-230.0,-230,1706666825.698539
8,0.0,0.0003097057342529297,0.0,-230.0,-230,1706666825.6988487
9,0.0,0.0003724098205566406,0.0,-230.0,-230,1706666825.6992211
10,0.0,0.0004019737243652344,0.0,-230.0,-230,1706666825.699623
11,0.0,0.00039458274841308594,0.0,-230.0,-230,1706666825.7000177
12,0.0,0.00044727325439453125,0.0,-230.0,-230,1706666825.700465
13,0.0,0.0003104209899902344,0.0,-230.0,-230,1706666825.7007754
14,0.0,0.00034165382385253906,0.0,-230.0,-230,1706666825.701117
15,0.0,0.00025963783264160156,0.0,-230.0,-230,1706666825.7013767
16,0.0,0.00024437904357910156,0.0,-230.0,-230,1706666825.701621
17,0.0,0.0003476142883300781,0.0,-230.0,-230,1706666825.7019687
18,0.0,0.0003333091735839844,0.0,-230.0,-230,1706666825.702302
19,0.0,0.00035762786865234375,0.0,-230.0,-230,1706666825.7026596
20,0.0,0.0003199577331542969,0.0,-230.0,-230,1706666825.7029796
21,0.0,0.00033736228942871094,0.0,-230.0,-230,1706666825.703317
22,0.0,0.00026297569274902344,0.0,-230.0,-230,1706666825.70358
23,0.0,0.00025010108947753906,0.0,-230.0,-230,1706666825.70383
24,0.0,0.00024700164794921875,0.0,-230.0,-230,1706666825.704077
25,-16.0,0.00953221321105957,-41.96297241189565,-188.03702758810437,-230,1706666825.7136092
26,-63.0,0.011427640914916992,-137.8237215997997,-92.17627840020029,-230,1706666825.7250369
27,-93.0,0.010932445526123047,-212.6697082043006,-17.330291795699395,-230,1706666825.7359693
28,-111.0,0.01117563247680664,-248.3080940393395,18.308094039339494,-230,1706666825.747145
29,-116.0,0.010757684707641602,-269.5747346025132,39.57473460251322,-230,1706666825.7579026
30,-103.0,0.011066198348999023,-232.69056985888182,2.6905698588818154,-230,1706666825.7689688
31,-1.0,0.011150121688842773,-2.2421279962366625,-227.75787200376334,-230,1706666825.780119
32,-60.0,0.010898828506469727,-137.62947082886706,-92.37052917113294,-230,1706666825.7910178
33,-55.0,0.010898828506469727,-126.1603482597948,-103.8396517402052,-230,1706666825.8019166
34,-77.0,0.011106491088867188,-173.32206766271682,-56.67793233728318,-230,1706666825.813023
35,-96.0,0.011090517044067383,-216.40109207386547,-13.59890792613453,-230,1706666825.8241136
36,-87.0,0.01111602783203125,-195.66341798215512,-34.336582017844876,-230,1706666825.8352296
37,-90.0,0.010816097259521484,-208.02327734426663,-21.97672265573337,-230,1706666825.8460457
38,-83.0,0.0108184814453125,-191.80141043723555,-38.198589562764454,-230,1706666825.8568642
39,-73.0,0.011310577392578125,-161.353389544688,-68.64661045531199,-230,1706666825.8681748
40,-67.0,0.011003255844116211,-152.22767003965245,-77.77232996034755,-230,1706666825.879178
41,-66.0,0.010793209075927734,-152.87390324718356,-77.12609675281644,-230,1706666825.8899713
42,-66.0,0.01088404655456543,-151.59802852073338,-78.40197147926662,-230,1706666825.9008553
43,-69.0,0.011053085327148438,-156.06502157031923,-73.93497842968077,-230,1706666825.9119084
44,-73.0,0.011193990707397461,-163.0339034312368,-66.96609656876319,-230,1706666825.9231024
45,-76.0,0.010893583297729492,-174.41460243811693,-55.58539756188307,-230,1706666825.933996
46,-77.0,0.011054515838623047,-174.1369796833887,-55.86302031661131,-230,1706666825.9450505
47,-74.0,0.010839462280273438,-170.6726728840401,-59.32732711595989,-230,1706666825.95589
48,-75.0,0.011333703994750977,-165.43576582451564,-64.56423417548436,-230,1706666825.9672236
49,-75.0,0.01084136962890625,-172.94862772695285,-57.05137227304715,-230,1706666825.978065
50,-75.0,0.010988712310791016,-170.6296376654372,-59.3703623345628,-230,1706666825.9890537
51,-73.0,0.010869741439819336,-167.89727797152946,-62.10272202847054,-230,1706666825.9999235
52,-73.0,0.011098146438598633,-164.44187415411716,-65.55812584588284,-230,1706666826.0110216
53,-73.0,0.011016130447387695,-165.66615734227898,-64.33384265772102,-230,1706666826.0220377
54,-73.0,0.011117219924926758,-164.1597460807652,-65.84025391923481,-230,1706666826.033155
55,-74.0,0.010772228240966797,-171.73791332831658,-58.26208667168342,-230,1706666826.0439272
56,-74.0,0.010892152786254883,-169.84704826529494,-60.152951734705056,-230,1706666826.0548193
57,-73.0,0.011115789413452148,-164.18087210175236,-65.81912789824764,-230,1706666826.0659351
58,-73.0,0.01089024543762207,-167.58116338638703,-62.41883661361297,-230,1706666826.0768254
59,-75.0,0.01135110855102539,-165.18210459987398,-64.81789540012602,-230,1706666826.0881765
60,-73.0,0.010613203048706055,-171.95562843985172,-58.04437156014828,-230,1706666826.0987897
61,-74.0,0.011392593383789062,-162.38620458730955,-67.61379541269045,-230,1706666826.1101823
62,-74.0,0.010684728622436523,-173.1443132879616,-56.85568671203839,-230,1706666826.120867
63,-74.0,0.010959863662719727,-168.79772020274532,-61.202279797254675,-230,1706666826.1318269
64,-74.0,0.011257648468017578,-164.33272057266296,-65.66727942733704,-230,1706666826.1430845
65,-72.0,0.010838031768798828,-166.08181618197017,-63.91818381802983,-230,1706666826.1539226
66,-74.0,0.011304140090942383,-163.65685360555122,-66.34314639444878,-230,1706666826.1652267
67,-74.0,0.01086735725402832,-170.23458019788947,-59.76541980211053,-230,1706666826.176094
68,-74.0,0.01120901107788086,-165.04578210745734,-64.95421789254266,-230,1706666826.187303
69,-73.0,0.010756731033325195,-169.66120974355564,-60.338790256444355,-230,1706666826.1980598
70,-73.0,0.011148929595947266,-163.6928446174244,-66.30715538257559,-230,1706666826.2092087
71,-73.0,0.010884523391723633,-167.66926160383764,-62.33073839616236,-230,1706666826.2200933
72,-74.0,0.010934829711914062,-169.18416186987616,-60.815838130123836,-230,1706666826.231028
73,-74.0,0.010952234268188477,-168.91530574482442,-61.08469425517558,-230,1706666826.2419803
74,-73.0,0.010907888412475586,-167.31010906865424,-62.68989093134576,-230,1706666826.2528882
75,-73.0,0.01143503189086914,-159.5972811809349,-70.40271881906509,-230,1706666826.2643232
76,-73.0,0.010829687118530273,-168.51825727054575,-61.481742729454254,-230,1706666826.275153
77,-75.0,0.010884523391723633,-172.2629400039428,-57.73705999605721,-230,1706666826.2860374
78,-74.0,0.011001110076904297,-168.16484764422867,-61.83515235577133,-230,1706666826.2970386
79,-72.0,0.011175870895385742,-161.0612736,-68.93872640000001,-230,1706666826.3082144
80,-74.0,0.010921478271484375,-169.39098847362905,-60.60901152637095,-230,1706666826.319136
81,-75.0,0.011066198348999023,-169.43488096520522,-60.565119034794776,-230,1706666826.330202
82,-74.0,0.010822772979736328,-170.93585936467375,-59.064140635326254,-230,1706666826.3410249
83,-73.0,0.01121664047241211,-162.70468902776005,-67.29531097223995,-230,1706666826.3522415
84,-72.0,0.011021137237548828,-163.32252844719423,-66.67747155280577,-230,1706666826.3632627
85,-76.0,0.011075973510742188,-171.54248320991906,-58.457516790080945,-230,1706666826.3743386
86,-75.0,0.010801553726196289,-173.5861383953206,-56.4138616046794,-230,1706666826.3851402
87,-74.0,0.010854005813598633,-170.44398462383305,-59.556015376166954,-230,1706666826.3959942
88,-71.0,0.011300802230834961,-157.06849511593072,-72.93150488406928,-230,1706666826.407295
89,-74.0,0.010810613632202148,-171.12812120944798,-58.87187879055202,-230,1706666826.4181056
90,-75.0,0.011089563369750977,-169.07789220218004,-60.92210779781996,-230,1706666826.4291952
91,-73.0,0.010785102844238281,-169.21489079494208,-60.78510920505792,-230,1706666826.4399803
92,-72.0,0.011273384094238281,-159.66811606463074,-70.33188393536926,-230,1706666826.4512537
93,-73.0,0.011119365692138672,-164.12806724130536,-65.87193275869464,-230,1706666826.462373
94,-76.0,0.01077890396118164,-176.2702410971024,-53.7297589028976,-230,1706666826.473152
95,-74.0,0.010931015014648438,-169.24320362938406,-60.756796370615945,-230,1706666826.484083
96,-73.0,0.011021614074707031,-165.58373280263044,-64.41626719736956,-230,1706666826.4951046
97,-74.0,0.011071205139160156,-167.10014643810837,-62.89985356189163,-230,1706666826.5061758
98,-74.0,0.01109623908996582,-166.72315592703208,-63.27684407296792,-230,1706666826.517272
99,-75.0,0.010832786560058594,-173.08565894885112,-56.91434105114888,-230,1706666826.5281048
100,-73.0,0.010837793350219727,-168.3922124205293,-61.60778757947071,-230,1706666826.5389426
101,-72.0,0.011691570281982422,-153.95707818426527,-76.04292181573473,-230,1706666826.5506341
102,-72.0,0.010528087615966797,-170.9712215227139,-59.028778477286096,-230,1706666826.5611622
103,-75.0,0.010883808135986328,-172.27426067907996,-57.72573932092004,-230,1706666826.572046
104,-73.0,0.011043071746826172,-165.26198885962262,-64.73801114037738,-230,1706666826.583089
105,-72.0,0.010818243026733398,-166.3856132231405,-63.614386776859504,-230,1706666826.5939074
106,-73.0,0.011349678039550781,-160.79751281404924,-69.20248718595076,-230,1706666826.605257
107,-75.0,0.01091146469116211,-171.8376087051523,-58.16239129484771,-230,1706666826.6161685
108,-74.0,0.01091909408569336,-169.42797502074328,-60.572024979256724,-230,1706666826.6270876
109,-73.0,0.010913610458374023,-167.22238776624795,-62.77761223375205,-230,1706666826.6380012
110,-73.0,0.011260032653808594,-162.07768273058355,-67.92231726941645,-230,1706666826.6492612
111,-75.0,0.010889291763305664,-172.1875068421168,-57.81249315788321,-230,1706666826.6601505
112,-75.0,0.01090860366821289,-171.8826769244219,-58.1173230755781,-230,1706666826.6710591
113,-73.0,0.010921001434326172,-167.10921713312666,-62.89078286687334,-230,1706666826.6819801
114,-73.0,0.011394023895263672,-160.1716844528144,-69.82831554718561,-230,1706666826.6933742
115,-73.0,0.010781049728393555,-169.27850682235345,-60.72149317764655,-230,1706666826.7041552
116,-76.0,0.01107025146484375,-171.63115093039283,-58.368849069607165,-230,1706666826.7152255
117,-73.0,0.010915279388427734,-167.19681971080337,-62.80318028919663,-230,1706666826.7261407
118,-73.0,0.010893821716308594,-167.52614899763634,-62.47385100236366,-230,1706666826.7370346
119,-74.0,0.011193513870239258,-165.27428486229738,-64.72571513770262,-230,1706666826.748228
120,-73.0,0.010950326919555664,-166.66169087069173,-63.33830912930827,-230,1706666826.7591784
121,-74.0,0.010905742645263672,-169.63539853963533,-60.36460146036467,-230,1706666826.7700841
122,-74.0,0.01098322868347168,-168.43863069008185,-61.56136930991815,-230,1706666826.7810674
123,-73.0,0.011192798614501953,-163.05126741362417,-66.94873258637583,-230,1706666826.7922602
124,-73.0,0.010927915573120117,-167.0034864186757,-62.99651358132431,-230,1706666826.803188
125,-75.0,0.010955095291137695,-171.15323510848984,-58.84676489151016,-230,1706666826.8141432
126,-75.0,0.010962486267089844,-171.0378425402349,-58.96215745976511,-230,1706666826.8251057
127,-73.0,0.010762214660644531,-169.57476295968098,-60.42523704031902,-230,1706666826.835868
128,-73.0,0.011406660079956055,-159.99424785235038,-70.00575214764962,-230,1706666826.8472745
129,-73.0,0.010869264602661133,-167.90464366404177,-62.09535633595823,-230,1706666826.8581438
130,-75.0,0.01095724105834961,-171.1197180033944,-58.88028199660559,-230,1706666826.869101
131,-74.0,0.011077165603637695,-167.01023223779083,-62.98976776220917,-230,1706666826.8801782
132,-73.0,0.011147499084472656,-163.7138506287963,-66.28614937120369,-230,1706666826.8913257
133,-73.0,0.010854959487915039,-168.12591535065562,-61.87408464934438,-230,1706666826.9021807
