,DeltEncoder,LoopTimess,CurrRpm,ChangeInRpm
930,32.0,0.021052122116088867,38.00091960271351,1.999080397286491
931,32.0,0.021169662475585938,37.789927020452296,2.2100729795477037
932,34.0,0.021001815795898438,40.472690945418215,-0.4726909454182149
933,35.0,0.02111983299255371,41.430251854193244,-1.4302518541932443
934,34.0,0.02083611488342285,40.79455333951232,-0.7945533395123192
935,33.0,0.02080988883972168,39.644613498619435,0.3553865013805648
936,34.0,0.02084040641784668,40.78615277253435,-0.7861527725343507
937,34.0,0.0208437442779541,40.77962138976265,-0.7796213897626529
938,32.0,0.020818471908569336,38.42741213252557,1.5725878674744322
939,33.0,0.02089691162109375,39.47951807228916,0.5204819277108399
940,35.0,0.020871639251708984,41.922916999840076,-1.9229169998400764
941,33.0,0.020839214324951172,39.58882456581928,0.4111754341807199
942,32.0,0.020878076553344727,38.317706037524694,1.6822939624753062
943,34.0,0.020833730697631836,40.799221816600486,-0.7992218166004861
944,35.0,0.021252155303955078,41.172294644259466,-1.1722946442594662
945,33.0,0.021278858184814453,38.77087731092437,1.2291226890756306
946,32.0,0.021188020706176758,37.75718416995803,2.2428158300419696
947,34.0,0.021218061447143555,40.06021012416428,-0.06021012416427851
948,35.0,0.021268844604492188,41.139987445072194,-1.1399874450721939
949,34.0,0.021181106567382812,40.13010355695633,-0.13010355695632825
950,33.0,0.02115654945373535,38.99501673484567,1.0049832651543298
951,34.0,0.0210115909576416,40.45386195236528,-0.4538619523652798
952,34.0,0.021209239959716797,40.076872231839744,-0.07687223183974368
953,33.0,0.021100521087646484,39.09856048450882,0.9014395154911767
954,33.0,0.020831823348999023,39.6028703862661,0.39712961373390243
955,34.0,0.020867347717285156,40.73349481285133,-0.7334948128513332
956,35.0,0.02092909812927246,41.80782155998314,-1.8078215599831395
957,33.0,0.02071976661682129,39.81705080260054,0.18294919739945925
958,33.0,0.0209047794342041,39.4646593902898,0.5353406097101967
959,35.0,0.020789146423339844,42.08927015000688,-2.0892701500068824
960,33.0,0.020876169204711914,39.518744646589234,0.4812553534107664
961,32.0,0.020815610885620117,38.43269382752815,1.5673061724718522
962,35.0,0.02081465721130371,42.03768484473615,-2.037684844736148
963,34.0,0.02077937126159668,40.905953760541564,-0.9059537605415642
964,33.0,0.02114582061767578,39.01480178595589,0.9851982140441109
965,33.0,0.02121591567993164,38.88590115299036,1.1140988470096431
966,34.0,0.02113628387451172,40.215205522718044,-0.21520552271804405
967,34.0,0.021286964416503906,39.93054074638233,0.0694592536176728
968,31.0,0.02109837532043457,36.732686201168455,3.2673137988315446
969,33.0,0.021193742752075195,38.9265836455064,1.0734163544936024
970,35.0,0.021266698837280273,41.14413838720165,-1.1441383872016502
971,33.0,0.021063804626464844,39.16671345135148,0.8332865486485233
972,33.0,0.02115631103515625,38.995456184637575,1.0045438153624247
973,34.0,0.02132558822631836,39.858220602374615,0.14177939762538472
974,34.0,0.02107071876525879,40.340341944170994,-0.3403419441709943
975,32.0,0.02082967758178711,38.40673946386466,1.5932605361353396
976,33.0,0.020574331283569336,40.0985086042065,-0.09850860420650065
977,35.0,0.02085590362548828,41.95454753303763,-1.9545475330376334
978,35.0,0.0207827091217041,42.10230701281419,-2.1023070128141867
979,33.0,0.0207674503326416,39.7256276907181,0.27437230928190104
980,33.0,0.020478248596191406,40.28664834908955,-0.2866483490895533
981,36.0,0.020800352096557617,43.26849833224442,-3.2684983322444197
982,34.0,0.020947694778442383,40.57725725862442,-0.5772572586244209
983,32.0,0.02096867561340332,38.1521472671662,1.8478527328338004
984,35.0,0.02102041244506836,41.62620511308214,-1.6262051130821433
985,36.0,0.02117776870727539,42.49739490689663,-2.4973949068966306
986,33.0,0.021184206008911133,38.944107683477206,1.0558923165227938
987,32.0,0.02117443084716797,37.78141692564068,2.218583074359323
988,35.0,0.021105051040649414,41.45926955185775,-1.4592695518577514
989,34.0,0.02115797996520996,40.17396752419909,-0.17396752419909234
990,32.0,0.021206140518188477,37.7249221428973,2.2750778571027013
991,33.0,0.021252870559692383,38.818285637361036,1.1817143626389637
992,35.0,0.021173954010009766,41.32435536538678,-1.3243553653867792
