,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib,KwContrib
0,0,0.2967188358306885,0.0,0,1710453337.8114014,240,0,0,0
1,0,0.02119159698486328,0.0,0,1710453337.832593,240,0,0,0
2,-6,0.020850181579589844,-7.194181951241824,0,1710453337.8534431,240,0,0,0
3,-27,0.02093052864074707,-32.24954379250248,0,1710453337.8743737,240,0,0,0
4,-42,0.021373987197875977,-49.12513469196533,0,1710453337.8957477,240,0,0,0
5,-50,0.020631074905395508,-60.588214900673734,0,1710453337.9163787,240,0,0,0
6,-57,0.0211942195892334,-67.23531357219191,0,1710453337.937573,240,0,0,0
7,-61,0.02078866958618164,-73.3572677019061,0,1710453337.9583616,240,0,0,0
8,-64,0.021308422088623047,-75.08768098104593,0,1710453337.97967,240,0,0,0
9,-65,0.021097898483276367,-77.02188923167327,0,1710453338.000768,240,0,0,0
10,-67,0.02039337158203125,-82.13453049008605,0,1710453338.0211613,240,0,0,0
11,-68,0.02113962173461914,-80.417711411364,0,1710453338.042301,240,0,0,0
12,-69,0.020832538604736328,-82.8031586898304,0,1710453338.0631335,240,0,0,0
13,-70,0.02123403549194336,-82.41485706586423,0,1710453338.0843675,240,0,0,0
14,-69,0.0206606388092041,-83.49209411819011,0,1710453338.1050282,240,0,0,0
15,-70,0.021140575408935547,-82.77920378933123,0,1710453338.1261687,240,0,0,0
16,-70,0.020822525024414062,-84.04360172208482,0,1710453338.1469913,240,0,0,0
17,-71,0.021055936813354492,-84.29926513049878,0,1710453338.1680472,240,0,0,0
18,-70,0.02100086212158203,-83.32991235638708,0,1710453338.189048,240,0,0,0
19,-71,0.020687580108642578,-85.8002719834044,0,1710453338.2097356,240,0,0,0
20,-71,0.021266937255859375,-83.46288789237668,0,1710453338.2310026,240,0,0,0
21,-72,0.02071523666381836,-86.892562668324,0,1710453338.2517178,240,0,0,0
22,-71,0.020986557006835938,-84.57795146778152,0,1710453338.2727044,240,0,0,0
23,-71,0.021420001983642578,-82.86647225128559,0,1710453338.2941244,240,0,0,0
24,-71,0.02082991600036621,-85.2139778177115,0,1710453338.3149543,240,0,0,0
25,-71,0.021027088165283203,-84.41492164999886,0,1710453338.3359814,240,0,0,0
26,-71,0.020592212677001953,-86.19763343753618,0,1710453338.3565736,240,0,0,0
27,-71,0.02126765251159668,-83.46008093898187,0,1710453338.3778412,240,0,0,0
28,-71,0.02114081382751465,-83.96081695255495,0,1710453338.398982,240,0,0,0
29,-70,0.020726680755615234,-84.43223594911082,0,1710453338.4197087,240,0,0,0
30,-70,0.0208890438079834,-83.77597443360155,0,1710453338.4405978,240,0,0,0
31,-71,0.020717382431030273,-85.67684676908912,0,1710453338.4613152,240,0,0,0
32,-70,0.02135491371154785,-81.94835266665922,0,1710453338.48267,240,0,0,0
33,-70,0.02087855339050293,-83.81806762512704,0,1710453338.5035486,240,0,0,0
34,-71,0.02129197120666504,-83.36475673254577,0,1710453338.5248406,240,0,0,0
35,-70,0.020622968673706055,-84.85684227563324,0,1710453338.5454636,240,0,0,0
36,-71,0.02128887176513672,-83.37689378667741,0,1710453338.5667524,240,0,0,0
37,-71,0.02084660530090332,-85.1457575168407,0,1710453338.587599,240,0,0,0
38,-71,0.020570039749145508,-86.29054788645873,0,1710453338.608169,240,0,0,0
39,-71,0.021360158920288086,-83.0986326751571,0,1710453338.6295292,240,0,0,0
40,-71,0.02086949348449707,-85.05237567545954,0,1710453338.6503987,240,0,0,0
41,-71,0.021009445190429688,-84.48581025873808,0,1710453338.6714082,240,0,0,0
