,CurrEncVal,DeltEncVal,CurrTime,DeltTime,CurrRpm,DeltRpm,SetRpm,PWMEst
0,15004.0,15004.0,1701289804.7018547,0.07009172439575195,4994.883533229474,-4964.883533229474,30,-7943.913653167158
1,15393.0,15393.0,1701289804.9030397,0.20118498802185059,48.3385967095307,-18.338596709530698,30,467.14659858769824
2,15439.0,15439.0,1701289805.103491,0.20045137405395508,5.7370522174143685,24.26294778258563,30,40.65457612309008
3,15439.0,15439.0,1701289805.3046458,0.2011547088623047,0.0,30.0,30,45.573705221741434
4,15439.0,15439.0,1701289805.505785,0.20113921165466309,0.0,30.0,30,45.0
5,15439.0,15439.0,1701289805.706844,0.20105910301208496,0.0,30.0,30,45.0
6,15439.0,15439.0,1701289805.9076934,0.20084929466247559,0.0,30.0,30,45.0
7,15439.0,15439.0,1701289806.108671,0.20097756385803223,0.0,30.0,30,45.0
8,15439.0,15439.0,1701289806.3097694,0.20109844207763672,0.0,30.0,30,45.0
9,15439.0,15439.0,1701289806.5108528,0.20108342170715332,0.0,30.0,30,45.0
10,15439.0,15439.0,1701289806.71155,0.2006971836090088,0.0,30.0,30,45.0
11,15439.0,15439.0,1701289806.9125838,0.2010338306427002,0.0,30.0,30,45.0
12,15439.0,15439.0,1701289807.113638,0.20105409622192383,0.0,30.0,30,45.0
13,15439.0,15439.0,1701289807.314829,0.20119118690490723,0.0,30.0,30,45.0
14,15439.0,15439.0,1701289807.5157464,0.20091724395751953,0.0,30.0,30,45.0
15,15439.0,15439.0,1701289807.716702,0.20095562934875488,0.0,30.0,30,45.0
16,15439.0,15439.0,1701289807.917766,0.2010641098022461,0.0,30.0,30,45.0
17,15439.0,15439.0,1701289808.118891,0.201124906539917,0.0,30.0,30,45.0
18,15439.0,15439.0,1701289808.3198993,0.20100831985473633,0.0,30.0,30,45.0
19,15439.0,15439.0,1701289808.5206227,0.20072340965270996,0.0,30.0,30,45.0
20,15439.0,15439.0,1701289808.721846,0.20122337341308594,0.0,30.0,30,45.0
21,15439.0,15439.0,1701289808.9227138,0.2008676528930664,0.0,30.0,30,45.0
22,15439.0,15439.0,1701289809.1236968,0.20098304748535156,0.0,30.0,30,45.0
23,15439.0,15439.0,1701289809.3248444,0.20114755630493164,0.0,30.0,30,45.0
24,15439.0,15439.0,1701289809.5257998,0.20095539093017578,0.0,30.0,30,45.0
25,15439.0,15439.0,1701289809.7268972,0.2010974884033203,0.0,30.0,30,45.0
26,15439.0,15439.0,1701289809.9283319,0.20143461227416992,0.0,30.0,30,45.0
27,15439.0,15439.0,1701289810.128755,0.2004232406616211,0.0,30.0,30,45.0
28,15439.0,15439.0,1701289810.3296888,0.20093369483947754,0.0,30.0,30,45.0
29,15439.0,15439.0,1701289810.5307586,0.20106983184814453,0.0,30.0,30,45.0
30,15439.0,15439.0,1701289810.7317436,0.20098495483398438,0.0,30.0,30,45.0
31,15439.0,15439.0,1701289810.9328654,0.20112180709838867,0.0,30.0,30,45.0
32,15439.0,15439.0,1701289811.133936,0.20107054710388184,0.0,30.0,30,45.0
33,15439.0,15439.0,1701289811.3349538,0.2010178565979004,0.0,30.0,30,45.0
34,15439.0,15439.0,1701289811.536208,0.20125412940979004,0.0,30.0,30,45.0
35,15439.0,15439.0,1701289811.7366745,0.20046663284301758,0.0,30.0,30,45.0
36,15439.0,15439.0,1701289811.937775,0.20110034942626953,0.0,30.0,30,45.0
37,15439.0,15439.0,1701289812.138789,0.20101404190063477,0.0,30.0,30,45.0
38,15439.0,15439.0,1701289812.3400524,0.201263427734375,0.0,30.0,30,45.0
39,15439.0,15439.0,1701289812.5409718,0.20091938972473145,0.0,30.0,30,45.0
40,15439.0,15439.0,1701289812.741945,0.2009732723236084,0.0,30.0,30,45.0
41,15439.0,15439.0,1701289812.9431858,0.20124077796936035,0.0,30.0,30,45.0
42,15439.0,15439.0,1701289813.1440701,0.20088434219360352,0.0,30.0,30,45.0
43,15439.0,15439.0,1701289813.3452363,0.20116615295410156,0.0,30.0,30,45.0
44,15439.0,15439.0,1701289813.5456293,0.2003929615020752,0.0,30.0,30,45.0
45,15439.0,15439.0,1701289813.746742,0.2011127471923828,0.0,30.0,30,45.0
46,15439.0,15439.0,1701289813.947741,0.20099902153015137,0.0,30.0,30,45.0
47,15439.0,15439.0,1701289814.1488743,0.20113325119018555,0.0,30.0,30,45.0
48,15439.0,15439.0,1701289814.3498237,0.20094943046569824,0.0,30.0,30,45.0
49,15439.0,15439.0,1701289814.550897,0.20107316970825195,0.0,30.0,30,45.0
50,15439.0,15439.0,1701289814.7519026,0.2010056972503662,0.0,30.0,30,45.0
51,15439.0,15439.0,1701289814.9529579,0.20105528831481934,0.0,30.0,30,45.0
52,15439.0,15439.0,1701289815.1536593,0.20070147514343262,0.0,30.0,30,45.0
53,15439.0,15439.0,1701289815.354763,0.20110368728637695,0.0,30.0,30,45.0
54,15439.0,15439.0,1701289815.5557556,0.20099258422851562,0.0,30.0,30,45.0
55,15439.0,15439.0,1701289815.7569108,0.2011551856994629,0.0,30.0,30,45.0
56,0.0,0.0,1701289819.2845333,3.5276224613189697,-109.41505340559739,139.4150534055974,30,220.06408544895584
57,1076.0,1076.0,1701289819.4866142,0.20208096504211426,133.11496208657735,-103.11496208657735,30,-178.9254446790835
58,1821.0,1821.0,1701289819.6873345,0.20072031021118164,92.79080916327942,-62.79080916327942,30,-90.15379845258934
59,2290.0,2290.0,1701289819.888392,0.20105743408203125,58.31666982886199,-28.31666982886199,30,-39.02759080985124
