,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib,KwContrib
0,-1.0,1.5212976932525635,-0.016433338531230874,0.0,1710109069.6730993,0.0,0.0,0.0,-0.03286667706246175
1,0.0,0.061127662658691406,0.0,0.0,1710109069.734227,0.0,0.0,0.0,0.0
2,0.0,0.07203006744384766,0.0,0.0,1710109069.806257,0.0,0.0,0.0,0.0
3,0.0,0.06724929809570312,0.0,0.0,1710109069.8735063,0.0,0.0,0.0,0.0
4,0.0,0.07410359382629395,0.0,0.0,1710109069.94761,0.0,0.0,0.0,0.0
5,0.0,0.06629300117492676,0.0,0.0,1710109070.013903,0.0,0.0,0.0,0.0
6,0.0,0.07330083847045898,0.0,0.0,1710109070.0872037,0.0,0.0,0.0,0.0
7,0.0,0.0682370662689209,0.0,0.0,1710109070.1554408,0.0,0.0,0.0,0.0
8,0.0,0.06780600547790527,0.0,0.0,1710109070.2232468,0.0,0.0,0.0,0.0
9,0.0,0.07197785377502441,0.0,0.0,1710109070.2952247,0.0,0.0,0.0,0.0
10,0.0,0.06843686103820801,0.0,0.0,1710109070.3636615,0.0,0.0,0.0,0.0
11,0.0,0.07162594795227051,0.0,0.0,1710109070.4352875,0.0,0.0,0.0,0.0
12,0.0,0.06767058372497559,0.0,0.0,1710109070.502958,0.0,0.0,0.0,0.0
13,0.0,0.06735634803771973,0.0,0.0,1710109070.5703144,0.0,0.0,0.0,0.0
14,0.0,0.07305097579956055,0.0,0.0,1710109070.6433654,0.0,0.0,0.0,0.0
15,0.0,0.0681769847869873,0.0,0.0,1710109070.7115424,0.0,0.0,0.0,0.0
16,0.0,0.07182073593139648,0.0,0.0,1710109070.783363,0.0,0.0,0.0,0.0
17,0.0,0.06818890571594238,0.0,0.0,1710109070.851552,0.0,0.0,0.0,0.0
18,0.0,0.07186388969421387,0.0,0.0,1710109070.923416,0.0,0.0,0.0,0.0
19,0.0,0.06822586059570312,0.0,0.0,1710109070.9916418,0.0,0.0,0.0,0.0
20,0.0,0.06793713569641113,0.0,0.0,1710109071.059579,0.0,0.0,0.0,0.0
21,0.0,0.07196283340454102,0.0,0.0,1710109071.1315417,0.0,0.0,0.0,0.0
22,0.0,0.0677938461303711,0.0,0.0,1710109071.1993356,0.0,0.0,0.0,0.0
23,0.0,0.07207846641540527,0.0,0.0,1710109071.271414,0.0,0.0,0.0,0.0
24,0.0,0.06801581382751465,0.0,0.0,1710109071.3394299,0.0,0.0,0.0,0.0
25,0.0,0.06841921806335449,0.0,0.0,1710109071.407849,0.0,0.0,0.0,0.0
26,0.0,0.0717463493347168,0.0,0.0,1710109071.4795954,0.0,0.0,0.0,0.0
27,0.0,0.0681917667388916,0.0,0.0,1710109071.5477872,0.0,0.0,0.0,0.0
28,0.0,0.06763100624084473,0.0,0.0,1710109071.6154182,0.0,0.0,0.0,0.0
29,0.0,0.07240462303161621,0.0,0.0,1710109071.6878228,0.0,0.0,0.0,0.0
30,0.0,0.06777644157409668,0.0,0.0,1710109071.7555993,0.0,0.0,0.0,0.0
31,0.0,0.07192635536193848,0.0,0.0,1710109071.8275256,0.0,0.0,0.0,0.0
32,0.0,0.06801557540893555,0.0,0.0,1710109071.8955412,0.0,0.0,0.0,0.0
33,0.0,0.06819748878479004,0.0,0.0,1710109071.9637387,0.0,0.0,0.0,0.0
34,0.0,0.07183218002319336,0.0,0.0,1710109072.0355709,0.0,0.0,0.0,0.0
35,0.0,0.0680854320526123,0.0,0.0,1710109072.1036563,0.0,0.0,0.0,0.0
36,0.0,0.07175970077514648,0.0,0.0,1710109072.175416,0.0,0.0,0.0,0.0
37,0.0,0.06802487373352051,0.0,0.0,1710109072.2434409,0.0,0.0,0.0,0.0
