,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime,PWMReq
0,-1.0,0.7934715747833252,-0.03150711480348467,20.031507114803485,20,1709503477.8731928,120.1890426888209
1,0.0,0.0005452632904052734,0.0,20.0,20,1709503477.873738,120.0218448909624
2,0.0,0.0004429817199707031,0.0,20.0,20,1709503477.874181,120.03956415976123
3,0.0,0.00039267539978027344,0.0,20.0,20,1709503477.8745737,120.05527117575244
4,0.0,0.0003790855407714844,0.0,20.0,20,1709503477.8749528,120.0704345973833
5,0.0,0.00037169456481933594,0.0,20.0,20,1709503477.8753245,120.08530237997607
6,0.0,0.00037932395935058594,0.0,20.0,20,1709503477.8757038,120.1004753383501
7,0.0,0.00038933753967285156,0.0,20.0,20,1709503477.8760931,120.11604883993701
8,0.0,0.0004024505615234375,0.0,20.0,20,1709503477.8764956,120.13214686239795
9,0.0,0.0003647804260253906,0.0,20.0,20,1709503477.8768604,120.14673807943896
10,0.0,0.00033283233642578125,0.0,20.0,20,1709503477.8771932,120.16005137289599
11,0.0,0.00033473968505859375,0.0,20.0,20,1709503477.877528,120.17344096029834
12,0.0,0.00034499168395996094,0.0,20.0,20,1709503477.877873,120.18724062765673
13,0.0,0.00041174888610839844,0.0,20.0,20,1709503477.8782847,120.20371058310107
14,0.0,0.0003077983856201172,0.0,20.0,20,1709503477.8785925,120.21602251852588
15,0.0,0.0003771781921386719,0.0,20.0,20,1709503477.8789697,120.23110964621142
16,0.0,0.0003948211669921875,0.0,20.0,20,1709503477.8793645,120.24690249289111
17,0.0,0.0003311634063720703,0.0,20.0,20,1709503477.8796957,120.26014902914599
18,0.0,0.0002288818359375,0.0,20.0,20,1709503477.8799245,120.26930430258349
19,0.0,0.00024318695068359375,0.0,20.0,20,1709503477.8801677,120.27903178061084
20,0.0,0.00027632713317871094,0.0,20.0,20,1709503477.880444,120.29008486593798
21,0.0,0.0002696514129638672,0.0,20.0,20,1709503477.8807137,120.30087092245654
22,0.0,0.00043654441833496094,0.0,20.0,20,1709503477.8811502,120.31833269918994
23,0.0,0.0004143714904785156,0.0,20.0,20,1709503477.8815646,120.33490755880908
24,0.0,0.0004467964172363281,0.0,20.0,20,1709503477.8820114,120.35277941549853
25,0.0,0.0003681182861328125,0.0,20.0,20,1709503477.8823795,120.36750414694384
26,0.0,0.0003311634063720703,0.0,20.0,20,1709503477.8827107,120.38075068319873
27,0.0,0.00030875205993652344,0.0,20.0,20,1709503477.8830194,120.39310076559619
