,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime
0,-1.0,0.26481080055236816,-0.09440702549840325,0.09440702549840325,0,1706668452.9693537
1,0.0,0.00024628639221191406,0.0,0.0,0,1706668452.9696
2,0.0,0.0002186298370361328,0.0,0.0,0,1706668452.9698186
3,0.0,0.00017523765563964844,0.0,0.0,0,1706668452.9699938
4,0.0,0.00015878677368164062,0.0,0.0,0,1706668452.9701526
5,0.0,0.00015234947204589844,0.0,0.0,0,1706668452.970305
6,0.0,0.00015115737915039062,0.0,0.0,0,1706668452.9704561
7,0.0,0.0001494884490966797,0.0,0.0,0,1706668452.9706056
8,0.0,0.00015091896057128906,0.0,0.0,0,1706668452.9707565
9,0.0,0.00015163421630859375,0.0,0.0,0,1706668452.9709082
10,0.0,0.00015044212341308594,0.0,0.0,0,1706668452.9710586
11,0.0,0.0001494884490966797,0.0,0.0,0,1706668452.971208
12,0.0,0.0001506805419921875,0.0,0.0,0,1706668452.9713588
13,0.0,0.00015163421630859375,0.0,0.0,0,1706668452.9715104
14,0.0,0.00014972686767578125,0.0,0.0,0,1706668452.9716601
15,0.0,0.0001499652862548828,0.0,0.0,0,1706668452.97181
16,0.0,0.0001494884490966797,0.0,0.0,0,1706668452.9719596
17,0.0,0.0001518726348876953,0.0,0.0,0,1706668452.9721115
18,0.0,0.00015044212341308594,0.0,0.0,0,1706668452.972262
19,0.0,0.00015020370483398438,0.0,0.0,0,1706668452.972412
20,0.0,0.0001506805419921875,0.0,0.0,0,1706668452.9725628
21,0.0,0.00015020370483398438,0.0,0.0,0,1706668452.972713
22,0.0,0.00014853477478027344,0.0,0.0,0,1706668452.9728615
23,0.0,0.0001659393310546875,0.0,0.0,0,1706668452.9730275
24,0.0,0.007283210754394531,0.0,0.0,0,1706668452.9803107
25,0.0,0.01104879379272461,0.0,0.0,0,1706668452.9913595
26,0.0,0.010908126831054688,0.0,0.0,0,1706668453.0022676
27,0.0,0.011284112930297852,0.0,0.0,0,1706668453.0135517
28,0.0,0.010870933532714844,0.0,0.0,0,1706668453.0244226
29,0.0,0.010947704315185547,0.0,0.0,0,1706668453.0353703
30,0.0,0.011032581329345703,0.0,0.0,0,1706668453.046403
31,0.0,0.011296510696411133,0.0,0.0,0,1706668453.0576994
32,0.0,0.010873079299926758,0.0,0.0,0,1706668453.0685725
33,0.0,0.010916709899902344,0.0,0.0,0,1706668453.0794892
34,0.0,0.011166810989379883,0.0,0.0,0,1706668453.090656
35,0.0,0.010620355606079102,0.0,0.0,0,1706668453.1012764
36,0.0,0.011362791061401367,0.0,0.0,0,1706668453.1126392
37,0.0,0.010812520980834961,0.0,0.0,0,1706668453.1234517
38,0.0,0.010935783386230469,0.0,0.0,0,1706668453.1343875
39,0.0,0.01093292236328125,0.0,0.0,0,1706668453.1453204
40,0.0,0.011326313018798828,0.0,0.0,0,1706668453.1566467
41,0.0,0.010999917984008789,0.0,0.0,0,1706668453.1676466
42,0.0,0.010763406753540039,0.0,0.0,0,1706668453.17841
43,0.0,0.011008024215698242,0.0,0.0,0,1706668453.189418
44,0.0,0.011244535446166992,0.0,0.0,0,1706668453.2006626
45,0.0,0.010944604873657227,0.0,0.0,0,1706668453.2116072
46,0.0,0.010866880416870117,0.0,0.0,0,1706668453.222474
47,0.0,0.010957479476928711,0.0,0.0,0,1706668453.2334316
48,0.0,0.010976314544677734,0.0,0.0,0,1706668453.244408
49,0.0,0.011246681213378906,0.0,0.0,0,1706668453.2556546
50,0.0,0.01088261604309082,0.0,0.0,0,1706668453.2665372
51,0.0,0.010927438735961914,0.0,0.0,0,1706668453.2774646
52,0.0,0.0108795166015625,0.0,0.0,0,1706668453.2883441
53,0.0,0.011275529861450195,0.0,0.0,0,1706668453.2996197
54,0.0,0.010776519775390625,0.0,0.0,0,1706668453.3103962
55,0.0,0.010885953903198242,0.0,0.0,0,1706668453.3212821
56,0.0,0.01090860366821289,0.0,0.0,0,1706668453.3321908
57,0.0,0.010962724685668945,0.0,0.0,0,1706668453.3431535
58,0.0,0.011588096618652344,0.0,0.0,0,1706668453.3547416
59,0.0,0.010580301284790039,0.0,0.0,0,1706668453.3653219
60,0.0,0.010948896408081055,0.0,0.0,0,1706668453.3762708
61,0.0,0.011292695999145508,0.0,0.0,0,1706668453.3875635
62,0.0,0.010984420776367188,0.0,0.0,0,1706668453.398548
63,0.0,0.011060476303100586,0.0,0.0,0,1706668453.4096084
64,0.0,0.010833263397216797,0.0,0.0,0,1706668453.4204416
65,0.0,0.010941505432128906,0.0,0.0,0,1706668453.4313831
66,0.0,0.01139688491821289,0.0,0.0,0,1706668453.44278
67,0.0,0.010680913925170898,0.0,0.0,0,1706668453.453461
68,0.0,0.010975122451782227,0.0,0.0,0,1706668453.464436
69,0.0,0.010836601257324219,0.0,0.0,0,1706668453.4752727
70,0.0,0.010879755020141602,0.0,0.0,0,1706668453.4861524
71,0.0,0.011271953582763672,0.0,0.0,0,1706668453.4974244
72,0.0,0.011159658432006836,0.0,0.0,0,1706668453.508584
73,0.0,0.0107574462890625,0.0,0.0,0,1706668453.5193415
74,0.0,0.010901927947998047,0.0,0.0,0,1706668453.5302434
75,0.0,0.011307239532470703,0.0,0.0,0,1706668453.5415506
76,0.0,0.011007547378540039,0.0,0.0,0,1706668453.5525582
77,0.0,0.010997772216796875,0.0,0.0,0,1706668453.563556
78,0.0,0.011165142059326172,0.0,0.0,0,1706668453.574721
79,0.0,0.010684013366699219,0.0,0.0,0,1706668453.585405
80,0.0,0.011261224746704102,0.0,0.0,0,1706668453.5966663
81,0.0,0.010812520980834961,0.0,0.0,0,1706668453.6074789
82,0.0,0.010782718658447266,0.0,0.0,0,1706668453.6182616
83,0.0,0.010921239852905273,0.0,0.0,0,1706668453.6291828
84,0.0,0.01135110855102539,0.0,0.0,0,1706668453.640534
85,0.0,0.011065959930419922,0.0,0.0,0,1706668453.6516
86,0.0,0.010901212692260742,0.0,0.0,0,1706668453.662501
87,0.0,0.010890007019042969,0.0,0.0,0,1706668453.673391
88,0.0,0.010925054550170898,0.0,0.0,0,1706668453.6843162
89,0.0,0.011333465576171875,0.0,0.0,0,1706668453.6956496
90,0.0,0.010887861251831055,0.0,0.0,0,1706668453.7065375
91,0.0,0.010967016220092773,0.0,0.0,0,1706668453.7175045
92,0.0,0.010969161987304688,0.0,0.0,0,1706668453.7284737
93,0.0,0.011284112930297852,0.0,0.0,0,1706668453.7397578
94,0.0,0.010686874389648438,0.0,0.0,0,1706668453.7504447
95,0.0,0.011122465133666992,0.0,0.0,0,1706668453.761567
