,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib,KwContrib
0,0,1.7068476676940918,0.0,-4.0,1710114613.64415,-20.0,-0.0,-0.0,0.0
1,0,0.020659685134887695,0.0,0.0,1710114613.6648097,0.0,-0.0,0.0,0.0
2,0,0.06313753128051758,0.0,1.0,1710114613.7279472,5.0,0.0,0.0,0.0
3,-1,0.06282472610473633,-0.3979324948957519,2.0,1710114613.790772,10.0,0.0,0.0,-0.0
4,-1,0.06313943862915039,-0.39594903823642696,2.0,1710114613.8539114,10.0,0.0,0.0,-0.0
5,-2,0.06284880638122559,-0.7955600572063716,1.0,1710114613.9167602,5.0,0.0,-0.0,-0.0
6,0,0.08370828628540039,0.0,2.0,1710114614.0004685,10.0,0.0,0.0,0.0
7,0,0.0633382797241211,0.0,2.0,1710114614.0638068,10.0,0.0,0.0,0.0
8,-1,0.06287884712219238,-0.3975899868427539,2.0,1710114614.1266856,10.0,0.0,0.0,-0.0
9,-1,0.08394241333007812,-0.2978232219950011,3.0,1710114614.210628,15.0,0.0,0.0,-0.0
10,-2,0.062445878982543945,-0.8006933494198544,1.0,1710114614.273074,5.0,0.0,-0.0,-0.0
11,-1,0.06305956840515137,-0.39645054085016124,-2.0,1710114614.3361335,-10.0,-0.0,-0.0,-0.0
12,0,0.06276345252990723,0.0,-6.0,1710114614.398897,-30.0,-0.0,-0.0,0.0
13,4,0.08417987823486328,1.1879323431782391,-7.0,1710114614.4830768,-35.0,-0.0,-0.0,0.0
14,7,0.06304550170898438,2.7757729775518847,-5.0,1710114614.5461223,-25.0,-0.0,0.0,0.0
15,7,0.06270146369934082,2.791003425998806,2.0,1710114614.6088238,10.0,0.0,0.0,0.0
16,0,0.08432412147521973,0.0,9.0,1710114614.693148,45.0,0.0,0.0,0.0
17,-5,0.06243562698364258,-2.0020620603801826,16.0,1710114614.7555835,80.0,0.0,0.0,-0.0
18,-13,0.06323719024658203,-5.13938077787329,17.0,1710114614.8188207,85.0,0.0,0.0,-0.0
19,-20,0.08403778076171875,-5.949704947798456,11.0,1710114614.9028585,55.0,0.0,-0.0,-0.0
20,-20,0.06299519538879395,-7.937113249893082,-1.0,1710114614.9658537,-5.0,0.0,-0.0,-0.0
21,-15,0.062591552734375,-5.991223793271575,-20.0,1710114615.0284452,-100.0,-0.0,-0.0,-0.0
22,14,0.0840613842010498,4.163624038867885,-36.0,1710114615.1125066,-180.0,-0.0,-0.0,0.0
