,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib,KwContrib
0,0,0.2831075191497803,0.0,0,1710453123.9117181,120,0,0,0
1,0,0.02133345603942871,0.0,0,1710453123.9330516,120,0,0,0
2,-2,0.020955801010131836,-2.385974173730019,0,1710453123.9540074,120,0,0,0
3,-13,0.02071666717529297,-15.68785158587672,0,1710453123.974724,120,0,0,0
4,-18,0.021068096160888672,-21.359310141909784,0,1710453123.9957922,120,0,0,0
5,-23,0.021080493927001953,-27.276400732882443,0,1710453124.0168726,120,0,0,0
6,-27,0.02137136459350586,-31.58431915036034,0,1710453124.038244,120,0,0,0
7,-27,0.02089381217956543,-32.30621555314657,0,1710453124.0591378,120,0,0,0
8,-30,0.020969152450561523,-35.76682470921308,0,1710453124.080107,120,0,0,0
9,-30,0.020510196685791016,-36.567177364982676,0,1710453124.1006172,120,0,0,0
10,-31,0.02077007293701172,-37.313301804490564,0,1710453124.1213872,120,0,0,0
11,-32,0.021175861358642578,-37.778864644554034,0,1710453124.142563,120,0,0,0
12,-32,0.02102804183959961,-38.044436381777366,0,1710453124.1635911,120,0,0,0
13,-33,0.02161121368408203,-38.174626009443536,0,1710453124.1852024,120,0,0,0
14,-33,0.020888566970825195,-39.495289511830435,0,1710453124.206091,120,0,0,0
15,-33,0.020972728729248047,-39.33679830843735,0,1710453124.2270637,120,0,0,0
16,-33,0.02074718475341797,-39.76443116524937,0,1710453124.2478108,120,0,0,0
17,-33,0.020727157592773438,-39.80285267323088,0,1710453124.268538,120,0,0,0
18,-34,0.021220922470092773,-40.05480917231229,0,1710453124.289759,120,0,0,0
19,-33,0.02073979377746582,-39.778601892193265,0,1710453124.3104987,120,0,0,0
20,-34,0.021201372146606445,-40.091744728703965,0,1710453124.3317,120,0,0,0
21,-34,0.020830392837524414,-40.80575947990706,0,1710453124.3525305,120,0,0,0
22,-33,0.020943641662597656,-39.39143026273849,0,1710453124.3734741,120,0,0,0
23,-33,0.020766735076904297,-39.72699593579941,0,1710453124.3942409,120,0,0,0
24,-33,0.02134847640991211,-38.6444439480914,0,1710453124.4155893,120,0,0,0
25,-34,0.021377086639404297,-39.76220026321072,0,1710453124.4369664,120,0,0,0
26,-33,0.020441532135009766,-40.35901000723133,0,1710453124.457408,120,0,0,0
27,-33,0.02115464210510254,-38.998532610533196,0,1710453124.4785626,120,0,0,0
28,-34,0.020980358123779297,-40.51408441100934,0,1710453124.499543,120,0,0,0
29,-33,0.021111011505126953,-39.079131750728436,0,1710453124.520654,120,0,0,0
30,-33,0.020818233489990234,-39.62872260015117,0,1710453124.5414722,120,0,0,0
31,-34,0.020771503448486328,-40.921448084295584,0,1710453124.5622437,120,0,0,0
32,-33,0.021216392517089844,-38.88502719467793,0,1710453124.58346,120,0,0,0
33,-34,0.020900726318359375,-40.66844314655959,0,1710453124.6043608,120,0,0,0
34,-34,0.020882606506347656,-40.70373110471754,0,1710453124.6252434,120,0,0,0
35,-33,0.021169424057006836,-38.971301145386356,0,1710453124.6464128,120,0,0,0
36,-34,0.020659685134887695,-41.142931000657796,0,1710453124.6670725,120,0,0,0
37,-34,0.021196842193603516,-40.10031268980721,0,1710453124.6882694,120,0,0,0
