,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime
0,-1.0,0.022566556930541992,-1.1078340429578135,41.10783404295781,40,1701832562.2673628
1,0.0,0.021111488342285156,0.0,40.0,40,1701832562.2884743
2,0.0,0.02079033851623535,0.0,40.0,40,1701832562.3092647
3,6.0,0.0211946964263916,7.077242201649099,32.9227577983509,40,1701832562.3304594
4,16.0,0.020911216735839844,19.128489989510648,20.871510010489352,40,1701832562.3513706
5,22.0,0.021088600158691406,26.08044136933026,13.91955863066974,40,1701832562.3724592
6,19.0,0.02089524269104004,22.732447142319234,17.267552857680766,40,1701832562.3933544
7,13.0,0.021301984786987305,15.256794296394954,24.743205703605046,40,1701832562.4146564
8,10.0,0.02061748504638672,12.12563023266571,27.87436976733429,40,1701832562.435274
9,8.0,0.021103382110595703,9.477153896558736,30.522846103441264,40,1701832562.4563773
10,8.0,0.02091836929321289,9.560974720189655,30.439025279810345,40,1701832562.4772956
11,11.0,0.021126985549926758,13.016528048931873,26.983471951068125,40,1701832562.4984226
12,13.0,0.02076244354248047,15.653263515686005,24.346736484313993,40,1701832562.519185
13,14.0,0.021311044692993164,16.42340884935951,23.57659115064049,40,1701832562.540496
14,12.0,0.02073955535888672,14.465112429300593,25.534887570699407,40,1701832562.5612357
15,11.0,0.02122211456298828,12.958180919426594,27.041819080573404,40,1701832562.5824578
16,9.0,0.020784378051757812,10.825438193998348,29.174561806001652,40,1701832562.6032422
17,9.0,0.021147966384887695,10.63932086447729,29.36067913552271,40,1701832562.6243901
18,12.0,0.021190404891967773,14.15735100529934,25.84264899470066,40,1701832562.6455805
19,14.0,0.020796537399291992,16.82972474119252,23.17027525880748,40,1701832562.666377
20,15.0,0.02115035057067871,17.730202567888988,22.269797432111012,40,1701832562.6875274
21,14.0,0.02090287208557129,16.744110501522705,23.255889498477295,40,1701832562.7084303
22,12.0,0.02103281021118164,14.263429232129498,25.736570767870504,40,1701832562.729463
23,10.0,0.020886659622192383,11.969362479310542,28.03063752068946,40,1701832562.7503498
24,9.0,0.02120351791381836,10.611446690804417,29.388553309195583,40,1701832562.7715533
25,10.0,0.020885467529296875,11.970045662100457,28.029954337899543,40,1701832562.7924387
26,13.0,0.021166324615478516,15.35457883709928,24.645421162900718,40,1701832562.813605
27,16.0,0.0206756591796875,19.346420664206644,20.653579335793356,40,1701832562.8342807
28,17.0,0.0212094783782959,20.03821086118324,19.96178913881676,40,1701832562.8554902
29,14.0,0.020817995071411133,16.812377887467502,23.187622112532498,40,1701832562.8763082
30,12.0,0.0211942195892334,14.15480285730356,25.845197142696442,40,1701832562.8975024
31,11.0,0.02076411247253418,13.244004546968114,26.755995453031886,40,1701832562.9182665
32,11.0,0.02113509178161621,13.011535641364063,26.988464358635937,40,1701832562.9394016
33,12.0,0.020827770233154297,14.403846241901142,25.596153758098858,40,1701832562.9602294
34,15.0,0.02127361297607422,17.627471197381986,22.372528802618014,40,1701832562.981503
35,16.0,0.02079033851623535,19.239705966674695,20.760294033325305,40,1701832563.0022933
36,15.0,0.02115035057067871,17.730202567888988,22.269797432111012,40,1701832563.0234437
37,15.0,0.020771026611328125,18.053994490358125,21.946005509641875,40,1701832563.0442147
38,14.0,0.0212249755859375,16.49000718907261,23.50999281092739,40,1701832563.0654397
39,13.0,0.021132469177246094,15.379177760729275,24.620822239270723,40,1701832563.0865722
40,13.0,0.020819425582885742,15.610421080356836,24.389578919643164,40,1701832563.1073916
41,14.0,0.021190404891967773,16.516909506182564,23.483090493817436,40,1701832563.128582
42,14.0,0.020789623260498047,16.835321911053004,23.164678088946996,40,1701832563.1493716
43,15.0,0.021155118942260742,17.72620617371606,22.27379382628394,40,1701832563.1705267
44,16.0,0.020787715911865234,19.24213327216424,20.75786672783576,40,1701832563.1913145
45,15.0,0.021264076232910156,17.63537695654124,22.36462304345876,40,1701832563.2125785
46,15.0,0.020787715911865234,18.039499942653975,21.960500057346025,40,1701832563.2333663
47,15.0,0.021106243133544922,17.767254817793642,22.232745182206358,40,1701832563.2544725
48,15.0,0.02093672752380371,17.91110858053863,22.08889141946137,40,1701832563.2754092
49,15.0,0.02109837532043457,17.77388041992022,22.22611958007978,40,1701832563.2965076
50,16.0,0.020900726318359375,19.13809089249863,20.86190910750137,40,1701832563.3174083
51,16.0,0.021045923233032227,19.00605621197875,20.99394378802125,40,1701832563.3384542
52,17.0,0.020865917205810547,20.368143696153933,19.631856303846067,40,1701832563.3593202
53,16.0,0.021213054656982422,18.856313080225682,21.143686919774318,40,1701832563.3805332
54,16.0,0.02076268196105957,19.265333869208245,20.734666130791755,40,1701832563.401296
55,15.0,0.021195173263549805,17.69270745452705,22.30729254547295,40,1701832563.422491
56,16.0,0.020804882049560547,19.226256560702254,20.773743439297746,40,1701832563.443296
57,16.0,0.021183490753173828,18.882629150253237,21.117370849746763,40,1701832563.4644794
58,17.0,0.021231651306152344,20.01728428334007,19.98271571665993,40,1701832563.485711
59,16.0,0.02077937126159668,19.24986059319603,20.75013940680397,40,1701832563.5064905
60,16.0,0.021152973175048828,18.90987128333446,21.09012871666554,40,1701832563.5276434
61,16.0,0.020794391632080078,19.235955880666836,20.764044119333164,40,1701832563.5484378
62,17.0,0.02116870880126953,20.076803171599767,19.923196828400233,40,1701832563.5696065
63,17.0,0.020755529403686523,20.47647119637011,19.52352880362989,40,1701832563.590362
64,18.0,0.021193265914916992,21.23315971245683,18.76684028754317,40,1701832563.6115553
65,17.0,0.020824909210205078,20.40825223822499,19.59174776177501,40,1701832563.6323802
66,16.0,0.02117013931274414,18.894537919228778,21.105462080771222,40,1701832563.6535504
67,16.0,0.020763158798217773,19.26489143040867,20.73510856959133,40,1701832563.6743135
68,16.0,0.021201133728027344,18.866915568350503,21.133084431649497,40,1701832563.6955147
69,18.0,0.02098226547241211,21.446683180692226,18.553316819307774,40,1701832563.716497
70,19.0,0.020996570587158203,22.622742034383304,17.377257965616696,40,1701832563.7374935
71,19.0,0.02086353302001953,22.766997303103715,17.233002696896285,40,1701832563.758357
72,18.0,0.021160602569580078,21.26593505644816,18.73406494355184,40,1701832563.7795177
73,16.0,0.02076864242553711,19.259804844449548,20.740195155550452,40,1701832563.8002863
74,16.0,0.021182537078857422,18.883479278752,21.116520721248,40,1701832563.8214688
75,17.0,0.020861387252807617,20.37256654361764,19.62743345638236,40,1701832563.8423302
