,DeltEncoder,LoopTimess,CurrRpm,ChangeInRpm,SetRpm
201,32.0,0.02089715003967285,38.28273226163447,1.7172677383655284,40
202,33.0,0.02079153060913086,39.67961837488246,0.3203816251175411,40
203,32.0,0.020799875259399414,38.46176912231634,1.5382308776836595,40
204,32.0,0.0207827091217041,38.49353784028726,1.50646215971274,40
205,33.0,0.020823955535888672,39.61783334478258,0.3821666552174179,40
206,32.0,0.02075052261352539,38.553245857940574,1.4467541420594259,40
207,31.0,0.02110886573791504,36.71443125472966,3.2855687452703393,40
208,32.0,0.0212862491607666,37.582948219666,2.417051780333999,40
209,33.0,0.021088838577270508,39.120219777735066,0.8797802222649338,40
210,32.0,0.021016836166381836,38.06472076323581,1.9352792367641882,40
211,31.0,0.02113628387451172,36.666805035419394,3.3331949645806063,40
212,33.0,0.021180391311645508,38.95112171730248,1.0488782826975225,40
213,34.0,0.021245956420898438,40.007612891641976,-0.007612891641976205,40
214,33.0,0.021189451217651367,38.93446751054852,1.0655324894514777,40
215,31.0,0.021274328231811523,36.4288823390974,3.571117660902601,40
216,32.0,0.02117013931274414,37.789075838457556,2.2109241615424438,40
217,32.0,0.021306276321411133,37.54762155206177,2.45237844793823,40
218,32.0,0.020814895629882812,38.43401447814533,1.565985521854671,40
219,32.0,0.020863771438598633,38.34397833365711,1.6560216663428875,40
220,33.0,0.020821332931518555,39.62282351055181,0.37717648944818905,40
221,34.0,0.020815372467041016,40.83520491146084,-0.835204911460842,40
222,32.0,0.02074742317199707,38.55900529757185,1.4409947024281493,40
223,31.0,0.02078533172607422,37.2859096122964,2.7140903877035996,40
224,33.0,0.020763397216796875,39.7333823259232,0.26661767407679804,40
225,33.0,0.020749568939208984,39.75986211651155,0.2401378834884511,40
226,32.0,0.020737409591674805,38.57762448407087,1.422375515929133,40
227,32.0,0.020764589309692383,38.52712847186341,1.4728715281365865,40
228,33.0,0.021196842193603516,38.92089172834229,1.0791082716577094,40
229,34.0,0.02114129066467285,40.205681549062284,-0.20568154906228386,40
230,31.0,0.021053552627563477,36.81088953060416,3.1891104693958425,40
231,31.0,0.021214008331298828,36.532464204634856,3.4675357953651442,40
232,33.0,0.021135807037353516,39.033285956006765,0.9667140439932354,40
233,32.0,0.02129817008972168,37.56191243801144,2.43808756198856,40
234,32.0,0.021181821823120117,37.76823385072544,2.231766149274563,40
235,32.0,0.021126985549926758,37.866263415074535,2.1337365849254653,40
236,34.0,0.021211624145507812,40.07236759284237,-0.07236759284236882,40
237,32.0,0.021140575408935547,37.8419217322657,2.1580782677342967,40
238,31.0,0.021143198013305664,36.654814447288594,3.3451855527114063,40
239,33.0,0.02080368995666504,39.65642641851083,0.34357358148916717,40
240,33.0,0.020753860473632812,39.75164047422112,0.24835952577888065,40
241,32.0,0.02086043357849121,38.350113720784044,1.6498862792159557,40
242,32.0,0.020903587341308594,38.27094301747343,1.729056982526572,40
243,33.0,0.02078866958618164,39.68507924857215,0.3149207514278487,40
244,34.0,0.020823955535888672,40.81837374916993,-0.818373749169929,40
245,33.0,0.02081155776977539,39.641434299461565,0.35856570053843484,40
246,32.0,0.020778894424438477,38.50060468371714,1.4993953162828575,40
247,33.0,0.02080059051513672,39.66233551877493,0.33766448122506887,40
248,33.0,0.021120548248291016,39.06148601359131,0.9385139864086867,40
249,32.0,0.021164417266845703,37.79929255379069,2.2007074462093072,40
250,33.0,0.021096229553222656,39.10651417205371,0.8934858279462929,40
251,33.0,0.021187543869018555,38.93797247572215,1.0620275242778519,40
252,34.0,0.021169424057006836,40.15224966494352,-0.15224966494351833,40
253,32.0,0.02118992805480957,37.75378556881983,2.246214431180171,40
254,32.0,0.021268367767333984,37.61454610676412,2.3854538932358835,40
255,33.0,0.02117776870727539,38.955945331321914,1.0440546686780863,40
256,32.0,0.021242856979370117,37.659717841951085,2.3402821580489146,40
257,32.0,0.021286487579345703,37.58252727313456,2.417472726865441,40
258,34.0,0.021151065826416016,40.18710011948509,-0.18710011948508765,40
259,34.0,0.020829439163208008,40.807627768557204,-0.8076277685572038,40
260,32.0,0.020847082138061523,38.37467491622731,1.6253250837726867,40
261,32.0,0.02077960968017578,38.499279452934964,1.5007205470650362,40
262,33.0,0.020760059356689453,39.739770769690146,0.2602292303098537,40
263,33.0,0.020814895629882812,39.63507743058737,0.36492256941262724,40
264,33.0,0.020770549774169922,39.71969971762437,0.2803002823756273,40
265,32.0,0.020851850509643555,38.36589945002801,1.6341005499719898,40
266,33.0,0.020833253860473633,39.600151062587976,0.399848937412024,40
267,34.0,0.020733356475830078,40.99673880545526,-0.9967388054552586,40
268,33.0,0.02098560333251953,39.31266530334015,0.6873346966598533,40
269,33.0,0.021187305450439453,38.93841064073999,1.0615893592600116,40
270,33.0,0.021124839782714844,39.05355062976841,0.9464493702315906,40
271,33.0,0.02119922637939453,38.91651446308876,1.0834855369112404,40
272,32.0,0.021103382110595703,37.908615586234944,2.0913844137650557,40
273,33.0,0.021169662475585938,38.97086223984143,1.0291377601585694,40
274,34.0,0.021112918853759766,40.25971045915487,-0.2597104591548671,40
275,34.0,0.02114701271057129,40.19480252996156,-0.19480252996155656,40
276,32.0,0.02115917205810547,37.80866273042773,2.191337269572273,40
277,33.0,0.021147489547729492,39.01172279281615,0.9882772071838488,40
278,33.0,0.021166563034057617,38.97656878315818,1.0234312168418214,40
279,33.0,0.020958662033081055,39.363199745185256,0.6368002548147444,40
280,33.0,0.020908117294311523,39.458359085466675,0.5416409145333247,40
281,33.0,0.020844459533691406,39.578862606945144,0.4211373930548561,40
282,34.0,0.020819425582885742,40.82725513324095,-0.8272551332409535,40
283,33.0,0.020786762237548828,39.688720666162,0.31127933383800155,40
284,32.0,0.020800352096557617,38.46088740643948,1.5391125935605174,40
285,33.0,0.020665407180786133,39.9217877868408,0.07821221315919757,40
286,34.0,0.020928621292114258,40.614237705198164,-0.614237705198164,40
287,32.0,0.02082681655883789,38.412015477253476,1.587984522746524,40
288,33.0,0.02082204818725586,39.62146243158449,0.3785375684155099,40
289,34.0,0.021146297454833984,40.19616208537218,-0.19616208537217972,40
290,34.0,0.021064281463623047,40.35267006225241,-0.3526700622524075,40
291,33.0,0.02124166488647461,38.83876355310122,1.1612364468987835,40
292,33.0,0.021220922470092773,38.87672654959722,1.1232734504027775,40
293,35.0,0.021134138107299805,41.40220886025969,-1.402208860259691,40
