,DeltEncoder,LoopTimes,CurrRpm,ChangeInRpm,SetRpm,CurrTime,PWMReq
0,-1.0,0.20058917999267578,-0.12463284410910318,-1,-1,1706740804.8266344,0
1,0.0,0.20074820518493652,0.0,-1,-1,1706740805.0273826,1
2,0.0,0.2009289264678955,0.0,-1,-1,1706740805.2283115,2
3,0.0,0.20097732543945312,0.0,-1,-1,1706740805.4292889,3
4,0.0,0.20122170448303223,0.0,-1,-1,1706740805.6305106,4
5,0.0,0.20073699951171875,0.0,-1,-1,1706740805.8312476,5
6,0.0,0.20091652870178223,0.0,-1,-1,1706740806.032164,6
7,0.0,0.20098400115966797,0.0,-1,-1,1706740806.233148,7
8,0.0,0.20135116577148438,0.0,-1,-1,1706740806.4344993,8
9,0.0,0.20074224472045898,0.0,-1,-1,1706740806.6352415,9
10,0.0,0.20090818405151367,0.0,-1,-1,1706740806.8361497,10
11,0.0,0.2009272575378418,0.0,-1,-1,1706740807.037077,11
12,0.0,0.20072221755981445,0.0,-1,-1,1706740807.2377992,12
13,0.0,0.2007124423980713,0.0,-1,-1,1706740807.4385116,13
14,0.0,0.2007756233215332,0.0,-1,-1,1706740807.6392872,14
15,0.0,0.2006683349609375,0.0,-1,-1,1706740807.8399556,15
16,0.0,0.20090246200561523,0.0,-1,-1,1706740808.040858,16
17,0.0,0.20088815689086914,0.0,-1,-1,1706740808.2417462,17
18,0.0,0.20072484016418457,0.0,-1,-1,1706740808.442471,18
19,0.0,0.20076608657836914,0.0,-1,-1,1706740808.643237,19
20,0.0,0.20074772834777832,0.0,-1,-1,1706740808.8439848,20
21,0.0,0.200897216796875,0.0,-1,-1,1706740809.044882,21
22,0.0,0.200913667678833,0.0,-1,-1,1706740809.2457957,22
23,0.0,0.20074105262756348,0.0,-1,-1,1706740809.4465368,23
24,0.0,0.20066189765930176,0.0,-1,-1,1706740809.6471987,24
25,0.0,0.2008359432220459,0.0,-1,-1,1706740809.8480346,25
26,0.0,0.20090270042419434,0.0,-1,-1,1706740810.0489373,26
27,0.0,0.20094084739685059,0.0,-1,-1,1706740810.2498782,27
28,0.0,0.200669527053833,0.0,-1,-1,1706740810.4505477,28
29,0.0,0.20077133178710938,0.0,-1,-1,1706740810.651319,29
30,0.0,0.20084738731384277,0.0,-1,-1,1706740810.8521664,30
31,0.0,0.20088720321655273,0.0,-1,-1,1706740811.0530536,31
32,0.0,0.2008497714996338,0.0,-1,-1,1706740811.2539034,32
33,0.0,0.20063066482543945,0.0,-1,-1,1706740811.454534,33
34,0.0,0.20079302787780762,0.0,-1,-1,1706740811.655327,34
35,0.0,0.20073771476745605,0.0,-1,-1,1706740811.8560648,35
36,0.0,0.2008657455444336,0.0,-1,-1,1706740812.0569305,36
37,0.0,0.20110821723937988,0.0,-1,-1,1706740812.2580388,37
38,0.0,0.20075273513793945,0.0,-1,-1,1706740812.4587915,38
39,0.0,0.20080900192260742,0.0,-1,-1,1706740812.6596005,39
40,0.0,0.20089197158813477,0.0,-1,-1,1706740812.8604925,40
41,0.0,0.2009141445159912,0.0,-1,-1,1706740813.0614066,41
42,0.0,0.20092535018920898,0.0,-1,-1,1706740813.262332,42
43,0.0,0.20076918601989746,0.0,-1,-1,1706740813.4631011,43
44,0.0,0.20072317123413086,0.0,-1,-1,1706740813.6638243,44
45,0.0,0.2008979320526123,0.0,-1,-1,1706740813.8647223,45
46,0.0,0.20090341567993164,0.0,-1,-1,1706740814.0656257,46
47,0.0,0.20078778266906738,0.0,-1,-1,1706740814.2664135,47
48,0.0,0.20079469680786133,0.0,-1,-1,1706740814.4672081,48
49,0.0,0.2008516788482666,0.0,-1,-1,1706740814.6680598,49
50,0.0,0.20090723037719727,0.0,-1,-1,1706740814.868967,50
51,0.0,0.20081830024719238,0.0,-1,-1,1706740815.0697854,51
52,0.0,0.2007741928100586,0.0,-1,-1,1706740815.2705595,52
53,0.0,0.20068097114562988,0.0,-1,-1,1706740815.4712405,53
54,0.0,0.20068788528442383,0.0,-1,-1,1706740815.6719284,54
55,0.0,0.20069408416748047,0.0,-1,-1,1706740815.8726225,55
56,0.0,0.20076298713684082,0.0,-1,-1,1706740816.0733855,56
57,0.0,0.20093512535095215,0.0,-1,-1,1706740816.2743206,57
58,0.0,0.20078611373901367,0.0,-1,-1,1706740816.4751067,58
59,0.0,0.20065784454345703,0.0,-1,-1,1706740816.6757646,59
60,0.0,0.20090675354003906,0.0,-1,-1,1706740816.8766713,60
61,0.0,0.2009265422821045,0.0,-1,-1,1706740817.0775979,61
62,0.0,0.20088481903076172,0.0,-1,-1,1706740817.2784827,62
63,0.0,0.20070338249206543,0.0,-1,-1,1706740817.479186,63
64,0.0,0.20074248313903809,0.0,-1,-1,1706740817.6799285,64
65,0.0,0.20082616806030273,0.0,-1,-1,1706740817.8807547,65
66,0.0,0.2007889747619629,0.0,-1,-1,1706740818.0815437,66
67,0.0,0.20071196556091309,0.0,-1,-1,1706740818.2822556,67
68,0.0,0.20075154304504395,0.0,-1,-1,1706740818.4830072,68
69,0.0,0.20067715644836426,0.0,-1,-1,1706740818.6836843,69
70,0.0,0.2006974220275879,0.0,-1,-1,1706740818.8843818,70
71,0.0,0.20070409774780273,0.0,-1,-1,1706740819.0850859,71
72,0.0,0.20086383819580078,0.0,-1,-1,1706740819.2859497,72
73,0.0,0.20069432258605957,0.0,-1,-1,1706740819.486644,73
74,0.0,0.20079588890075684,0.0,-1,-1,1706740819.68744,74
75,0.0,0.20077300071716309,0.0,-1,-1,1706740819.888213,75
76,0.0,0.2009129524230957,0.0,-1,-1,1706740820.0891259,76
77,0.0,0.20097112655639648,0.0,-1,-1,1706740820.290097,77
78,0.0,0.200758695602417,0.0,-1,-1,1706740820.4908557,78
79,0.0,0.20067119598388672,0.0,-1,-1,1706740820.691527,79
80,0.0,0.20087265968322754,0.0,-1,-1,1706740820.8923995,80
81,0.0,0.20092415809631348,0.0,-1,-1,1706740821.0933237,81
82,0.0,0.20094966888427734,0.0,-1,-1,1706740821.2942734,82
83,0.0,0.20078349113464355,0.0,-1,-1,1706740821.4950569,83
84,0.0,0.20080828666687012,0.0,-1,-1,1706740821.6958652,84
85,0.0,0.20093178749084473,0.0,-1,-1,1706740821.896797,85
86,0.0,0.2009282112121582,0.0,-1,-1,1706740822.0977252,86
87,0.0,0.2008497714996338,0.0,-1,-1,1706740822.298575,87
88,0.0,0.2006969451904297,0.0,-1,-1,1706740822.4992719,88
89,0.0,0.20068740844726562,0.0,-1,-1,1706740822.6999593,89
90,0.0,0.2007136344909668,0.0,-1,-1,1706740822.900673,90
91,0.0,0.20090579986572266,0.0,-1,-1,1706740823.1015787,91
92,0.0,0.20102190971374512,0.0,-1,-1,1706740823.3026006,92
93,0.0,0.20095419883728027,0.0,-1,-1,1706740823.5035548,93
94,0.0,0.2010359764099121,0.0,-1,-1,1706740823.7045908,94
95,0.0,0.20105195045471191,0.0,-1,-1,1706740823.9056427,95
