,PositionErr,LoopTimes,CurrTime
0,0.0,0.011961319446563722,1709854223.480224
1,0.0,0.01197453498840332,1709854223.4847052
2,0.0,0.011983866691589356,1709854223.4889631
3,0.0,0.012000327110290527,1709854223.4943647
4,0.0,0.012012279033660889,1709854223.4986074
5,0.0,0.012246587276458741,1709854223.5255396
6,0.0,0.012535281181335449,1709854223.5581257
7,0.0,0.012870981693267822,1709854223.5954628
8,0.0,0.01318312406539917,1709854223.630303
9,0.0,0.013506383895874023,1709854223.666233
10,0.0,0.01379302740097046,1709854223.6996412
11,0.0,0.014122016429901123,1709854223.7381935
12,0.0,0.014436233043670654,1709854223.7789416
13,0.0,0.014691915512084961,1709854223.8134067
14,0.0,0.014973654747009277,1709854223.8528683
15,0.0,0.015181791782379151,1709854223.8811507
16,0.0,0.015498924255371093,1709854223.9202185
17,0.0,0.01573857307434082,1709854223.9513004
18,0.0,0.016027998924255372,1709854223.9857774
19,0.0,0.0162982702255249,1709854224.0192947
20,0.0,0.016593108177185057,1709854224.0564315
21,0.0,0.0168741250038147,1709854224.0893989
22,0.0,0.017187037467956544,1709854224.1269248
23,0.0,0.017521867752075194,1709854224.166166
24,0.0,0.017777187824249266,1709854224.1985502
25,0.0,0.018044769763946533,1709854224.2357686
26,0.0,0.0182916522026062,1709854224.2660482
27,0.0,0.018560001850128172,1709854224.30026
28,0.0,0.01884371995925903,1709854224.3355286
29,0.0,0.019134812355041504,1709854224.370095
30,0.0,0.019438772201538085,1709854224.410489
31,0.0,0.01965862512588501,1709854224.4424818
32,0.0,0.019921157360076904,1709854224.4788203
33,0.0,0.020179436206817628,1709854224.5134535
34,0.0,0.02045426845550537,1709854224.5486555
35,0.0,0.02073892593383789,1709854224.5830045
36,0.0,0.02100379467010498,1709854224.619207
37,0.0,0.02126202344894409,1709854224.650746
38,0.0,0.021561555862426758,1709854224.6863253
39,0.0,0.021864967346191408,1709854224.7224228
40,0.0,0.022127029895782472,1709854224.7542148
41,0.0,0.02243161678314209,1709854224.7905269
42,0.0,0.022731192111968994,1709854224.8304982
43,0.0,0.023013930320739746,1709854224.8647738
44,0.0,0.023296120166778563,1709854224.8983738
45,0.0,0.023560922145843505,1709854224.9311252
46,0.0,0.02386032581329346,1709854224.9672496
47,0.0,0.02417269229888916,1709854225.003953
48,0.0,0.024414739608764648,1709854225.034291
49,0.0,0.024711124897003174,1709854225.0686655
50,0.0,0.02502511739730835,1709854225.105478
51,0.0,0.025334885120391847,1709854225.142493
52,0.0,0.02559424877166748,1709854225.1794167
53,0.0,0.02584113597869873,1709854225.2156553
54,0.0,0.02609398365020752,1709854225.2467341
55,0.0,0.02640328645706177,1709854225.2845078
56,0.0,0.026679701805114746,1709854225.3184078
57,0.0,0.02693730354309082,1709854225.3506508
58,0.0,0.02723135709762573,1709854225.3880527
59,0.0,0.02751255989074707,1709854225.4264505
60,0.0,0.027771506309509277,1709854225.46353
61,0.0,0.027978696823120118,1709854225.493385
62,0.0,0.028247666358947755,1709854225.5291574
63,0.0,0.02854571580886841,1709854225.564985
64,0.0,0.028838167190551756,1709854225.5998194
65,0.0,0.02912147283554077,1709854225.635826
66,0.0,0.029367644786834717,1709854225.6694462
67,0.0,0.029634566307067872,1709854225.7050614
68,0.0,0.029906134605407714,1709854225.7377124
69,0.0,0.030208182334899903,1709854225.7736142
70,0.0,0.03047313690185547,1709854225.8108325
71,0.0,0.030726373195648193,1709854225.8468518
72,0.0,0.031016569137573242,1709854225.8824549
73,0.0,0.03123399496078491,1709854225.9138772
74,0.0,0.031502275466918944,1709854225.9473722
75,0.0,0.03179394483566284,1709854225.9825704
76,0.0,0.03208817481994629,1709854226.0176375
77,0.0,0.03239540100097656,1709854226.0544226
78,0.0,0.03267161130905152,1709854226.0914521
79,0.0,0.03291914224624634,1709854226.1252766
80,0.0,0.033188552856445314,1709854226.1623852
81,0.0,0.033448162078857424,1709854226.1987846
82,0.0,0.03366252899169922,1709854226.2301881
83,0.0,0.033958737850189206,1709854226.2665591
84,0.0,0.03422147750854492,1709854226.2995765
85,0.0,0.03450890302658081,1709854226.336021
86,0.0,0.03475816488265991,1709854226.3664374
87,0.0,0.03506011486053467,1709854226.4033096
88,0.0,0.03535902500152588,1709854226.4386802
89,0.0,0.03565521955490112,1709854226.4749095
90,0.0,0.03590925931930542,1709854226.5101933
91,0.0,0.03616978883743286,1709854226.5462828
92,0.0,0.036466925144195556,1709854226.5825446
93,0.0,0.03679333448410034,1709854226.6244578
94,0.0,0.03696384906768799,1709854226.647423
95,0.0,0.0372575855255127,1709854226.6827323
96,0.0,0.03756259202957153,1709854226.721851
97,0.0,0.03782590627670288,1709854226.7537444
98,0.0,0.03813046932220459,1709854226.795135
99,0.0,0.03834213018417358,1709854226.8229485
100,0.0,0.02667367458343506,1709854226.8628428
101,0.0,0.026916222572326662,1709854226.8990688
102,0.0,0.027176332473754884,1709854226.933446
103,0.0,0.0274043607711792,1709854226.9646742
104,0.0,0.027676196098327638,1709854227.0001247
105,0.0,0.027730224132537843,1709854227.0351734
106,0.0,0.027732431888580322,1709854227.0721962
107,0.0,0.027638034820556642,1709854227.1020172
108,0.0,0.027629411220550536,1709854227.1401854
109,0.0,0.0275866174697876,1709854227.1763747
110,0.0,0.027579631805419922,1709854227.212167
111,0.0,0.02749406099319458,1709854227.2419922
112,0.0,0.02748408794403076,1709854227.2814314
113,0.0,0.02749462127685547,1709854227.3137462
114,0.0,0.02752223253250122,1709854227.350087
115,0.0,0.027580406665802002,1709854227.3851452
